Frequency (Hz),S12 Real,S12 Imaginary
100000000,0.500056,0.492473
100590059,0.507295,0.485526
101180118,0.514227,0.478607
101770177,0.521304,0.471462
102360236,0.528286,0.464035
102950295,0.535265,0.456521
103540354,0.541946,0.449111
104130413,0.548573,0.441454
104720472,0.555074,0.433815
105310531,0.561518,0.426008
105900590,0.567905,0.418064
106490649,0.574084,0.409989
107080708,0.580349,0.401728
107670767,0.586068,0.393725
108260826,0.591979,0.385402
108850885,0.597844,0.376889
109440944,0.6034,0.368413
110031003,0.609032,0.359643
110621062,0.614262,0.351098
111211121,0.619701,0.342148
111801180,0.62477,0.333452
112391239,0.629838,0.324541
112981298,0.634764,0.315422
113571357,0.639538,0.306385
114161416,0.644095,0.297113
114751475,0.648648,0.287907
115341534,0.653128,0.278273
115931593,0.657282,0.269002
116521652,0.66127,0.25965
117111711,0.665273,0.249919
117701770,0.669114,0.240282
118291829,0.672807,0.230509
118881888,0.676374,0.220607
119471947,0.679704,0.210677
120062006,0.682979,0.200789
120652065,0.685954,0.190928
121242124,0.688874,0.180813
121832183,0.691658,0.170809
122422242,0.694219,0.160874
123012301,0.6967,0.150519
123602360,0.698932,0.140303
124192419,0.701043,0.13008
124782478,0.703077,0.120064
125372537,0.70498,0.109616
125962596,0.706705,0.0990445
126552655,0.708218,0.0887739
127142714,0.70963,0.0783845
127732773,0.710885,0.0679612
128322832,0.711848,0.0574198
128912891,0.71278,0.0467843
129502950,0.713527,0.0364365
130093009,0.714075,0.0258508
130683068,0.714507,0.0154672
131273127,0.714807,0.00464067
131863186,0.714842,-0.00590251
132453245,0.714761,-0.0160262
133043304,0.714544,-0.0265746
133633363,0.714198,-0.036764
134223422,0.713682,-0.0475694
134813481,0.71291,-0.0580386
135403540,0.712119,-0.0682799
135993599,0.711063,-0.0786429
136583658,0.709932,-0.0896225
137173717,0.708524,-0.0999801
137763776,0.707059,-0.110051
138353835,0.705447,-0.120593
138943894,0.703583,-0.130825
139533953,0.70166,-0.141146
140124012,0.699467,-0.151418
140714071,0.697243,-0.161799
141304130,0.694807,-0.172041
141894189,0.692137,-0.182471
142484248,0.689385,-0.19251
143074307,0.686361,-0.202974
143664366,0.683298,-0.213308
144254425,0.680133,-0.223256
144844484,0.676832,-0.233078
145434543,0.673315,-0.242972
146024602,0.669627,-0.253013
146614661,0.665856,-0.262814
147204720,0.661843,-0.272661
147794779,0.657813,-0.282251
148384838,0.653445,-0.292126
148974897,0.649115,-0.301503
149564956,0.644653,-0.311039
150155015,0.640034,-0.320486
150745074,0.635137,-0.329786
151335133,0.630339,-0.338855
151925192,0.625332,-0.347996
152515251,0.620005,-0.357206
153105310,0.614668,-0.366152
153695369,0.609099,-0.375229
154285428,0.603616,-0.38394
154875487,0.59781,-0.392653
155465546,0.59208,-0.401246
156055605,0.586116,-0.40956
156645664,0.580078,-0.418003
157235723,0.573873,-0.426452
157825782,0.567533,-0.434741
158415841,0.560997,-0.442854
159005900,0.554483,-0.450768
159595959,0.547636,-0.458803
160186018,0.540849,-0.466653
160776077,0.534046,-0.474346
161366136,0.526895,-0.481948
161956195,0.519773,-0.489512
162546254,0.512756,-0.496606
163136313,0.505344,-0.503858
163726372,0.497807,-0.511053
164316431,0.490187,-0.518267
164906490,0.482669,-0.525086
165496549,0.474878,-0.531875
166086608,0.46705,-0.538585
166676667,0.459278,-0.545063
167266726,0.451087,-0.551627
167856785,0.443174,-0.557778
168446844,0.434934,-0.564141
169036903,0.426518,-0.570403
169626962,0.418259,-0.576351
170217021,0.409913,-0.582177
170807080,0.401433,-0.587909
171397139,0.392794,-0.593553
171987198,0.384387,-0.598914
172577257,0.375807,-0.604239
173167316,0.366935,-0.609473
173757375,0.358097,-0.614586
174347434,0.349014,-0.619712
174937493,0.340046,-0.624586
175527552,0.330651,-0.629345
176117611,0.321918,-0.633846
176707670,0.31258,-0.638354
177297729,0.303479,-0.642671
177887788,0.294176,-0.646864
178477847,0.284669,-0.650998
179067906,0.275115,-0.654949
179657965,0.265613,-0.658809
180248024,0.256193,-0.662514
180838083,0.246626,-0.665965
181428142,0.23676,-0.669431
182018201,0.227411,-0.672721
182608260,0.217576,-0.675836
183198319,0.208101,-0.678767
183788378,0.197889,-0.68176
184378437,0.188187,-0.684331
184968496,0.178273,-0.686993
185558555,0.168185,-0.689499
186148614,0.158249,-0.691855
186738673,0.148173,-0.694048
187328732,0.13805,-0.696043
187918791,0.127983,-0.697982
188508850,0.117765,-0.699746
189098909,0.107657,-0.701372
189688968,0.0972728,-0.702818
190279027,0.0872272,-0.704149
190869086,0.0771945,-0.705217
191459145,0.0668116,-0.706383
192049204,0.0567101,-0.707233
192639263,0.0462626,-0.708026
193229322,0.035815,-0.708581
193819381,0.0254838,-0.709003
194409440,0.0154867,-0.709341
194999499,0.00500584,-0.709504
195589558,-0.00531192,-0.709468
196179617,-0.0156391,-0.709378
196769676,-0.0258855,-0.709078
197359735,-0.0365365,-0.708599
197949794,-0.0467259,-0.70799
198539853,-0.0570479,-0.707219
199129912,-0.067614,-0.706364
199719971,-0.0777923,-0.705296
200310030,-0.0880826,-0.704136
200900089,-0.098577,-0.702653
