Frequency (Hz),S12 Real,S12 Imaginary
100000000,0.499024,0.491024
100590059,0.506126,0.484279
101180118,0.513261,0.477129
101770177,0.520325,0.469949
102360236,0.527008,0.46287
102950295,0.533979,0.455291
103540354,0.540633,0.447953
104130413,0.547225,0.440421
104720472,0.553788,0.432667
105310531,0.560056,0.425108
105900590,0.566549,0.416964
106490649,0.572661,0.409022
107080708,0.578866,0.400885
107670767,0.584684,0.392882
108260826,0.590743,0.384186
108850885,0.596324,0.376011
109440944,0.601911,0.3676
110031003,0.607525,0.358957
110621062,0.612918,0.350237
111211121,0.618131,0.341577
111801180,0.623133,0.332968
112391239,0.628332,0.323771
112981298,0.633221,0.31483
113571357,0.637909,0.30572
114161416,0.64255,0.296529
114751475,0.647047,0.287297
115341534,0.65139,0.277826
115931593,0.655678,0.268471
116521652,0.659715,0.258963
117111711,0.663654,0.249428
117701770,0.667556,0.239607
118291829,0.671115,0.230137
118881888,0.674691,0.220254
119471947,0.677981,0.210656
120062006,0.68134,0.20051
120652065,0.684402,0.190489
121242124,0.687261,0.180546
121832183,0.690148,0.170458
122422242,0.692676,0.160633
123012301,0.695037,0.150472
123602360,0.697344,0.140213
124192419,0.69947,0.130088
124782478,0.701494,0.119703
125372537,0.703503,0.109222
125962596,0.705093,0.0990696
126552655,0.706632,0.0887831
127142714,0.708062,0.0783654
127732773,0.709194,0.0677404
128322832,0.710281,0.0575041
128912891,0.71113,0.0470389
129502950,0.711904,0.0366391
130093009,0.712524,0.0259771
130683068,0.712867,0.0155109
131273127,0.713194,0.00515763
131863186,0.713196,-0.00548641
132453245,0.713159,-0.0157081
133043304,0.712961,-0.0263345
133633363,0.712752,-0.0370594
134223422,0.712003,-0.0475381
134813481,0.711402,-0.0577869
135403540,0.710458,-0.0682927
135993599,0.709497,-0.0788978
136583658,0.708273,-0.0891705
137173717,0.706933,-0.0996243
137763776,0.705384,-0.110163
138353835,0.703731,-0.120718
138943894,0.701988,-0.130889
139533953,0.699989,-0.141261
140124012,0.69788,-0.151429
140714071,0.695638,-0.161665
141304130,0.69318,-0.171694
141894189,0.690521,-0.182362
142484248,0.687732,-0.192468
143074307,0.684884,-0.202554
143664366,0.681802,-0.212774
144254425,0.678623,-0.222771
144844484,0.675243,-0.232685
145434543,0.671762,-0.242511
146024602,0.668069,-0.252379
146614661,0.6643,-0.262066
147204720,0.660344,-0.271958
147794779,0.656273,-0.281607
148384838,0.652096,-0.291251
148974897,0.64785,-0.300451
149564956,0.643369,-0.309968
150155015,0.638751,-0.319346
150745074,0.633965,-0.328593
151335133,0.628967,-0.33812
151925192,0.62388,-0.34731
152515251,0.618663,-0.35635
153105310,0.613416,-0.365286
153695369,0.608039,-0.373962
154285428,0.602406,-0.382825
154875487,0.596596,-0.391615
155465546,0.590696,-0.400413
156055605,0.584819,-0.408819
156645664,0.578676,-0.41722
157235723,0.572582,-0.425562
157825782,0.566126,-0.433846
158415841,0.559701,-0.441969
159005900,0.55309,-0.449778
159595959,0.546457,-0.457724
160186018,0.539662,-0.465612
160776077,0.532757,-0.473184
161366136,0.525878,-0.480757
161956195,0.518639,-0.488223
162546254,0.511425,-0.495725
163136313,0.50408,-0.502964
163726372,0.496676,-0.510009
164316431,0.4891,-0.517129
164906490,0.48147,-0.523941
165496549,0.47355,-0.530811
166086608,0.465969,-0.537332
166676667,0.457972,-0.543885
167266726,0.450019,-0.550436
167856785,0.441938,-0.556778
168446844,0.433826,-0.56291
169036903,0.425607,-0.568971
169626962,0.417378,-0.575047
170217021,0.408952,-0.58084
170807080,0.400245,-0.586745
171397139,0.392016,-0.592035
171987198,0.383316,-0.597622
172577257,0.374676,-0.602908
173167316,0.36579,-0.608224
173757375,0.356931,-0.613263
174347434,0.348007,-0.618309
174937493,0.33908,-0.623034
175527552,0.3302,-0.627728
176117611,0.321151,-0.632254
176707670,0.312188,-0.636733
177297729,0.30297,-0.64098
177887788,0.293563,-0.645282
178477847,0.284249,-0.649374
179067906,0.274895,-0.653284
179657965,0.265379,-0.65722
180248024,0.255936,-0.660803
180838083,0.246296,-0.664329
181428142,0.236433,-0.667737
182018201,0.226857,-0.671016
182608260,0.217252,-0.674122
183198319,0.207407,-0.6772
183788378,0.197568,-0.68007
184378437,0.187559,-0.68283
184968496,0.177665,-0.68542
185558555,0.167796,-0.687878
186148614,0.157764,-0.690141
186738673,0.147824,-0.692368
187328732,0.137726,-0.694368
187918791,0.127667,-0.696305
188508850,0.11768,-0.698106
189098909,0.107397,-0.699702
189688968,0.0971298,-0.701215
190279027,0.0868872,-0.702498
190869086,0.0767198,-0.703672
191459145,0.0666223,-0.704724
192049204,0.0563547,-0.705515
192639263,0.0460535,-0.706337
193229322,0.0357231,-0.7069
