Frequency (Hz),S12 Real,S12 Imaginary
100000000,0.498094,0.491094
100590059,0.505366,0.484081
101180118,0.512419,0.47713
101770177,0.519233,0.470042
102360236,0.526324,0.462706
102950295,0.53335,0.455119
103540354,0.539874,0.447865
104130413,0.546625,0.440146
104720472,0.55312,0.432495
105310531,0.559486,0.424773
105900590,0.565784,0.416877
106490649,0.572024,0.408908
107080708,0.578121,0.400765
107670767,0.584186,0.392432
108260826,0.589995,0.384189
108850885,0.595898,0.375554
109440944,0.601382,0.36725
110031003,0.606908,0.358794
110621062,0.612237,0.350075
111211121,0.617622,0.341311
111801180,0.622658,0.332528
112391239,0.627686,0.323527
112981298,0.63257,0.314486
113571357,0.637367,0.305284
114161416,0.641943,0.296149
114751475,0.646449,0.286944
115341534,0.650786,0.277707
115931593,0.655035,0.268306
116521652,0.65917,0.258581
117111711,0.663153,0.24901
117701770,0.666994,0.239412
118291829,0.670575,0.229923
118881888,0.674042,0.220115
119471947,0.677298,0.210507
120062006,0.680674,0.200343
120652065,0.683791,0.190456
121242124,0.686731,0.180353
121832183,0.689317,0.170696
122422242,0.691949,0.160597
123012301,0.694434,0.150087
123602360,0.696685,0.139981
124192419,0.698848,0.129703
124782478,0.700844,0.119469
125372537,0.702795,0.109128
125962596,0.704532,0.0989377
126552655,0.705982,0.0884254
127142714,0.707363,0.0780433
127732773,0.708676,0.0676377
128322832,0.709714,0.0572773
128912891,0.71056,0.046736
129502950,0.711275,0.0363804
130093009,0.711822,0.0257623
130683068,0.712261,0.0151943
131273127,0.712482,0.00503386
131863186,0.71266,-0.00550838
132453245,0.71252,-0.0159475
133043304,0.712262,-0.0265372
133633363,0.712155,-0.0369281
134223422,0.711403,-0.0472787
134813481,0.710661,-0.0579055
135403540,0.709796,-0.0683904
135993599,0.708756,-0.0792602
136583658,0.707607,-0.0895976
137173717,0.706362,-0.0994765
137763776,0.704874,-0.10992
138353835,0.703182,-0.120367
138943894,0.701397,-0.130646
139533953,0.699357,-0.141134
140124012,0.697293,-0.151237
140714071,0.694987,-0.161709
141304130,0.692554,-0.171905
141894189,0.689894,-0.182177
142484248,0.687201,-0.192344
143074307,0.684297,-0.202296
143664366,0.68121,-0.212229
144254425,0.678057,-0.222433
144844484,0.674729,-0.23242
145434543,0.671177,-0.24228
146024602,0.66759,-0.252161
146614661,0.663773,-0.261942
147204720,0.659794,-0.271735
147794779,0.655703,-0.281367
148384838,0.651517,-0.290995
148974897,0.64698,-0.300924
149564956,0.642611,-0.310042
150155015,0.63805,-0.31922
150745074,0.633339,-0.328563
151335133,0.628347,-0.337756
151925192,0.623266,-0.346961
152515251,0.618032,-0.356112
153105310,0.61278,-0.365037
153695369,0.607446,-0.373768
154285428,0.601777,-0.382533
154875487,0.596095,-0.391221
155465546,0.590129,-0.400054
156055605,0.584172,-0.408589
156645664,0.578196,-0.416847
157235723,0.572007,-0.425134
157825782,0.565662,-0.433407
158415841,0.559085,-0.441599
159005900,0.552452,-0.449633
159595959,0.545866,-0.457325
160186018,0.539319,-0.464856
160776077,0.532492,-0.472479
161366136,0.525327,-0.480345
161956195,0.518226,-0.487712
162546254,0.511014,-0.494971
163136313,0.503593,-0.502368
163726372,0.496111,-0.509523
164316431,0.488672,-0.516441
164906490,0.480888,-0.523492
165496549,0.473258,-0.530215
166086608,0.465506,-0.536796
166676667,0.457718,-0.543351
167266726,0.449645,-0.549837
167856785,0.441686,-0.556041
168446844,0.433461,-0.562332
169036903,0.425396,-0.568239
169626962,0.417021,-0.574273
170217021,0.408554,-0.580253
170807080,0.40012,-0.586019
171397139,0.391575,-0.591551
171987198,0.382981,-0.597061
172577257,0.374338,-0.602336
173167316,0.365421,-0.607676
173757375,0.356541,-0.612753
174347434,0.347808,-0.617575
174937493,0.338734,-0.622487
175527552,0.330038,-0.627073
176117611,0.320575,-0.63182
176707670,0.311642,-0.636253
177297729,0.302247,-0.640637
177887788,0.293242,-0.644608
178477847,0.283635,-0.648917
179067906,0.274323,-0.652766
179657965,0.264794,-0.656675
180248024,0.255369,-0.660261
180838083,0.24602,-0.663701
181428142,0.236488,-0.667109
182018201,0.226569,-0.67042
182608260,0.21693,-0.673532
183198319,0.207129,-0.676561
183788378,0.197291,-0.679426
184378437,0.187461,-0.682158
184968496,0.177436,-0.684792
185558555,0.167631,-0.68721
186148614,0.157472,-0.689614
186738673,0.147583,-0.691799
187328732,0.137429,-0.693794
187918791,0.127518,-0.695617
188508850,0.117552,-0.697419
189098909,0.107272,-0.699066
189688968,0.0970732,-0.700602
190279027,0.0869427,-0.701909
190869086,0.0766748,-0.702986
191459145,0.0666753,-0.704038
192049204,0.0562355,-0.704929
192639263,0.0457197,-0.705663
193229322,0.0354339,-0.706284
193819381,0.0255537,-0.706771
194409440,0.0150192,-0.70693
194999499,0.0049422,-0.707149
195589558,-0.00529186,-0.707177
196179617,-0.0154488,-0.707104
196769676,-0.0260122,-0.706791
197359735,-0.0362334,-0.706298
197949794,-0.0466095,-0.705688
198539853,-0.0567637,-0.704957
199129912,-0.0674149,-0.704084
199719971,-0.0774701,-0.70299
200310030,-0.0878235,-0.701715
200900089,-0.0978671,-0.700403
201490148,-0.108267,-0.698926
202080207,-0.118408,-0.697194
202670266,-0.128396,-0.695428
203260325,-0.138663,-0.693461
203850385,-0.149076,-0.691227
204440444,-0.15919,-0.688942
205030503,-0.169107,-0.68659
