Frequency (Hz),S12 Real,S12 Imaginary
223322332,-0.452382,-0.538515
223912391,-0.459862,-0.531832
224502450,-0.467564,-0.524681
225092509,-0.475269,-0.517581
225682568,-0.482802,-0.510184
226272627,-0.490164,-0.502815
226862686,-0.497259,-0.495383
227452745,-0.504409,-0.487628
228042804,-0.511279,-0.480045
228632863,-0.518149,-0.472154
229222922,-0.52486,-0.464291
229812981,-0.531388,-0.456339
230403040,-0.537815,-0.44818
230993099,-0.544304,-0.439856
231583158,-0.550463,-0.431315
232173217,-0.556524,-0.422993
232763276,-0.562334,-0.414644
233353335,-0.568178,-0.405891
233943394,-0.57377,-0.397232
234533453,-0.579158,-0.388572
235123512,-0.584575,-0.379739
235713571,-0.5896,-0.370971
236303630,-0.594691,-0.361916
236893689,-0.599637,-0.352793
237483748,-0.60432,-0.343756
238073807,-0.608999,-0.334502
238663866,-0.613477,-0.325105
239253925,-0.617684,-0.315943
239843984,-0.621746,-0.306633
240434043,-0.625763,-0.297113
241024102,-0.629572,-0.287727
241614161,-0.633281,-0.278151
242204220,-0.636812,-0.268517
242794279,-0.64014,-0.259117
243384338,-0.643364,-0.249485
243974397,-0.646425,-0.239777
244564456,-0.649275,-0.230228
245154515,-0.652102,-0.220399
245744574,-0.654766,-0.210536
246334633,-0.657169,-0.201005
246924692,-0.659466,-0.191286
247514751,-0.661699,-0.181213
248104810,-0.663729,-0.171301
248694869,-0.665568,-0.161245
249284928,-0.667257,-0.151555
249874987,-0.668749,-0.141574
250465046,-0.670176,-0.131315
251055105,-0.67137,-0.121409
251645164,-0.67248,-0.111514
252235223,-0.67342,-0.10131
252825282,-0.674129,-0.0913847
253415341,-0.674725,-0.0813271
254005400,-0.675135,-0.071637
254595459,-0.675456,-0.0616166
255185518,-0.675565,-0.0518937
255775577,-0.675538,-0.0419964
256365636,-0.675389,-0.0322589
256955695,-0.674996,-0.0225837
257545754,-0.674477,-0.0126541
258135813,-0.673923,-0.00297644
258725872,-0.673191,0.00686272
259315931,-0.672183,0.0166191
259905990,-0.671156,0.0263523
260496049,-0.669946,0.0358526
261086108,-0.668636,0.0455287
261676167,-0.667132,0.0550683
262266226,-0.665551,0.0645323
262856285,-0.663845,0.0739556
263446344,-0.661955,0.0834732
264036403,-0.659973,0.0926303
264626462,-0.657847,0.101825
265216521,-0.655587,0.110916
265806580,-0.653231,0.120098
266396639,-0.65068,0.129121
266986698,-0.648016,0.138388
267576757,-0.645405,0.147111
268166816,-0.642479,0.156198
268756875,-0.639469,0.165309
269346934,-0.63632,0.173919
269936993,-0.633095,0.182714
270527052,-0.62974,0.191366
271117111,-0.626373,0.199947
271707170,-0.622768,0.208385
272297229,-0.6193,0.216393
272887288,-0.61546,0.22492
273477347,-0.611556,0.233243
274067406,-0.607517,0.241481
274657465,-0.603497,0.24967
275247524,-0.599345,0.257622
275837583,-0.595088,0.265593
276427642,-0.590664,0.273637
277017701,-0.586183,0.281495
277607760,-0.581667,0.289158
278197819,-0.576965,0.296855
278787878,-0.572317,0.304541
279377937,-0.56744,0.312024
279967996,-0.562569,0.319415
280558055,-0.557699,0.326554
281148114,-0.552623,0.333974
281738173,-0.54752,0.341178
282328232,-0.542206,0.348457
282918291,-0.537001,0.355334
283508350,-0.531528,0.362375
284098409,-0.526003,0.369291
284688468,-0.520519,0.375938
285278527,-0.514809,0.382812
285868586,-0.509049,0.389387
286458645,-0.503327,0.395754
287048704,-0.497553,0.402295
287638763,-0.491496,0.408626
288228822,-0.485542,0.415006
288818881,-0.479534,0.421085
289408940,-0.473437,0.426965
289998999,-0.467304,0.433036
290589058,-0.460915,0.438982
291179117,-0.454601,0.444726
291769176,-0.448243,0.450569
292359235,-0.441819,0.456136
292949294,-0.435409,0.461628
293539353,-0.42888,0.466982
294129412,-0.42221,0.472438
294719471,-0.415549,0.477652
295309530,-0.408854,0.482809
295899589,-0.402035,0.488008
296489648,-0.395146,0.493092
297079707,-0.38819,0.49796
297669766,-0.381333,0.502786
298259825,-0.374466,0.507326
298849884,-0.36732,0.512078
299439943,-0.360308,0.516452
300030002,-0.353002,0.521101
300620061,-0.345976,0.525381
301210120,-0.338821,0.529606
301800179,-0.331454,0.533799
302390238,-0.324372,0.537832
302980297,-0.316993,0.541859
303570356,-0.309706,0.545713
304160415,-0.30246,0.549365
304750474,-0.295027,0.553088
305340533,-0.287624,0.556679
305930592,-0.280188,0.560165
306520651,-0.272397,0.563651
307110711,-0.26485,0.566965
307700770,-0.257363,0.570222
308290829,-0.2498,0.573286
308880888,-0.242313,0.57632
309470947,-0.234645,0.579339
310061006,-0.22733,0.582042
310651065,-0.219709,0.584848
311241124,-0.211777,0.587588
311831183,-0.203922,0.590184
312421242,-0.196137,0.592653
313011301,-0.187168,0.595429
313601360,-0.179211,0.597781
314191419,-0.171339,0.600041
314781478,-0.163316,0.60216
315371537,-0.155393,0.604157
315961596,-0.147307,0.606141
316551655,-0.13969,0.60789
317141714,-0.131464,0.609678
317731773,-0.123562,0.611354
318321832,-0.115391,0.612911
318911891,-0.107444,0.614343
319501950,-0.0996467,0.615672
320092009,-0.0916922,0.616946
320682068,-0.0833743,0.618168
321272127,-0.0754828,0.619254
321862186,-0.0674705,0.620252
322452245,-0.0593954,0.62121
323042304,-0.0515226,0.621911
323632363,-0.043079,0.622732
324222422,-0.0349994,0.623281
324812481,-0.0267853,0.623837
325402540,-0.0185919,0.62431
325992599,-0.0103796,0.624598
326582658,-0.00209671,0.624788
327172717,0.00598046,0.624973
327762776,0.0141601,0.624925
328352835,0.0222723,0.624914
328942894,0.030622,0.624767
329532953,0.0389143,0.624491
330123012,0.0473474,0.624084
330713071,0.0554939,0.623669
331303130,0.0637504,0.623012
331893189,0.0721874,0.622368
332483248,0.080255,0.621646
333073307,0.0885323,0.620785
333663366,0.0968619,0.619849
334253425,0.10497,0.618724
334843484,0.113223,0.617746
335433543,0.121462,0.616358
336023602,0.129799,0.615067
336613661,0.137935,0.613606
337203720,0.146266,0.612028
337793779,0.154369,0.610424
338383838,0.162552,0.60859
338973897,0.171098,0.606634
339563956,0.179141,0.604678
340154015,0.187361,0.602605
340744074,0.195613,0.600313
341334133,0.203774,0.598032
341924192,0.211897,0.595632
342514251,0.21998,0.593084
343104310,0.228227,0.590309
343694369,0.236327,0.587619
344284428,0.244473,0.584584
344874487,0.252165,0.581618
345464546,0.260287,0.578494
346054605,0.268418,0.575278
346644664,0.276417,0.571842
347234723,0.284537,0.568397
347824782,0.292318,0.564859
348414841,0.299987,0.561309
349004900,0.30769,0.557617
349594959,0.315675,0.553662
350185018,0.323454,0.549665
350775077,0.331386,0.545438
351365136,0.339215,0.541172
351955195,0.346798,0.536913
352545254,0.354353,0.532458
353135313,0.361843,0.527936
353725372,0.369264,0.523407
354315431,0.376806,0.518552
354905490,0.384197,0.513849
355495549,0.391604,0.508754
356085608,0.398864,0.503651
356675667,0.406099,0.498492
357265726,0.413445,0.493147
357855785,0.420512,0.487691
358445844,0.427554,0.482317
359035903,0.434496,0.476824
359625962,0.441599,0.471042
360216021,0.448595,0.465127
360806080,0.455135,0.459363
361396139,0.462018,0.453116
361986198,0.468773,0.446924
362576257,0.475315,0.440657
363166316,0.481755,0.434486
363756375,0.488286,0.427925
364346434,0.494534,0.421601
364936493,0.500769,0.414825
365526552,0.507113,0.407953
366116611,0.513202,0.401211
366706670,0.51915,0.39434
367296729,0.525036,0.387329
367886788,0.530991,0.380024
368476847,0.53677,0.372876
369066906,0.542396,0.365591
369656965,0.547881,0.358368
370247024,0.553576,0.350554
370837083,0.558915,0.34299
371427142,0.564203,0.335216
372017201,0.569434,0.327129
372607260,0.574415,0.319427
373197319,0.579442,0.311378
373787378,0.584341,0.303272
374377437,0.588879,0.295355
374967496,0.593566,0.286988
375557555,0.598433,0.278536
376147614,0.602679,0.270261
376737673,0.607066,0.261498
377327732,0.611189,0.252958
377917791,0.615107,0.244596
378507850,0.618989,0.235847
379097909,0.622733,0.227338
379687968,0.626573,0.217885
380278027,0.630057,0.209106
380868086,0.633373,0.200402
381458145,0.636715,0.191292
382048204,0.639843,0.182233
382638263,0.642901,0.172968
383228322,0.645685,0.163943
383818381,0.64856,0.154492
384408440,0.651068,0.145432
384998499,0.65348,0.13626
385588558,0.655902,0.126815
386178617,0.658025,0.117584
386768676,0.66013,0.107992
387358735,0.662095,0.0983868
387948794,0.663795,0.088944
388538853,0.665437,0.0794897
389128912,0.667018,0.0694847
389718971,0.6684,0.0601765
390309030,0.6696,0.0506557
390899089,0.670663,0.0406974
391489148,0.671554,0.0308743
392079207,0.672294,0.0212927
392669266,0.672957,0.0114686
393259325,0.673496,0.00182371
393849384,0.673803,-0.00790772
394439443,0.674013,-0.0179472
395029502,0.674101,-0.0276953
395619561,0.673946,-0.0376679
396209620,0.673647,-0.0474813
396799679,0.673243,-0.0572752
397389738,0.672714,-0.067257
397979797,0.672029,-0.0769526
398569856,0.671162,-0.0870582
399159915,0.670134,-0.0968753
399749974,0.668959,-0.106632
400340033,0.667646,-0.116532
400930092,0.666185,-0.126289
401520151,0.664551,-0.136278
402110210,0.662823,-0.14597
402700269,0.660832,-0.155793
403290328,0.658713,-0.165498
403880387,0.6564,-0.175284
404470446,0.654035,-0.184933
405060505,0.651565,-0.194511
405650564,0.648851,-0.204238
406240623,0.646026,-0.213723
406830682,0.643204,-0.223294
407420741,0.640065,-0.232728
408010800,0.63678,-0.24231
408600859,0.633497,-0.251442
409190918,0.629902,-0.26098
409780977,0.626135,-0.270261
410371036,0.622407,-0.279526
410961096,0.618412,-0.28886
411551155,0.614368,-0.297883
412141214,0.610078,-0.307085
412731273,0.605719,-0.316161
413321332,0.6012,-0.325155
413911391,0.596481,-0.334212
414501450,0.591662,-0.34299
415091509,0.586685,-0.351909
415681568,0.581624,-0.360854
416271627,0.576647,-0.369036
416861686,0.571281,-0.377749
417451745,0.56583,-0.386139
418041804,0.560347,-0.394577
418631863,0.554541,-0.403048
419221922,0.548783,-0.41128
419811981,0.542819,-0.419487
420402040,0.536485,-0.427783
420992099,0.530415,-0.43567
421582158,0.52393,-0.443787
422172217,0.51748,-0.451511
422762276,0.510977,-0.459148
423352335,0.504309,-0.466814
423942394,0.497442,-0.474394
424532453,0.490511,-0.482064
425122512,0.483544,-0.489208
425712571,0.476285,-0.496492
426302630,0.468924,-0.503855
