Frequency (Hz),S12 Real,S12 Imaginary
100000000,0.502773,0.496301
100590059,0.509851,0.48941
101180118,0.517261,0.482191
101770177,0.524271,0.474977
102360236,0.531185,0.467798
102950295,0.538364,0.459938
103540354,0.545283,0.452222
104130413,0.551679,0.444891
104720472,0.558354,0.437021
105310531,0.564799,0.429136
105900590,0.571226,0.421117
106490649,0.577564,0.412992
107080708,0.583581,0.404975
107670767,0.589494,0.396873
108260826,0.595577,0.388252
108850885,0.601365,0.379774
109440944,0.606868,0.371428
110031003,0.612583,0.362483
110621062,0.617854,0.354056
111211121,0.623043,0.345288
111801180,0.628375,0.336296
112391239,0.63348,0.327217
112981298,0.638452,0.31804
113571357,0.643279,0.308845
114161416,0.647897,0.299492
114751475,0.652473,0.290327
115341534,0.656926,0.280723
115931593,0.661009,0.271505
116521652,0.665197,0.261729
117111711,0.669153,0.252243
117701770,0.673054,0.242288
118291829,0.676642,0.23263
118881888,0.680181,0.222863
119471947,0.683652,0.212842
120062006,0.686776,0.203102
120652065,0.689815,0.193274
121242124,0.69274,0.183115
121832183,0.695622,0.172963
122422242,0.698275,0.162709
123012301,0.700741,0.152464
123602360,0.703022,0.142143
124192419,0.705143,0.132004
124782478,0.707286,0.121422
125372537,0.709124,0.11125
125962596,0.710865,0.100602
126552655,0.712442,0.0902652
127142714,0.713861,0.079652
127732773,0.715128,0.068761
128322832,0.716181,0.0586194
128912891,0.717176,0.047881
129502950,0.717872,0.0375095
130093009,0.718435,0.02693
130683068,0.718849,0.0162674
131273127,0.718981,0.00585952
131863186,0.719104,-0.00491305
132453245,0.719067,-0.0152651
133043304,0.718869,-0.0259501
133633363,0.718251,-0.0367135
134223422,0.717973,-0.0473118
134813481,0.717303,-0.0579191
135403540,0.716389,-0.0683008
135993599,0.715416,-0.0784071
136583658,0.714268,-0.0892466
137173717,0.71285,-0.099433
137763776,0.711347,-0.110086
138353835,0.709709,-0.120708
138943894,0.707899,-0.130993
139533953,0.705879,-0.141743
140124012,0.703621,-0.152117
140714071,0.701486,-0.162203
141304130,0.699041,-0.172472
141894189,0.69655,-0.182714
142484248,0.693638,-0.193242
143074307,0.690794,-0.203192
143664366,0.687726,-0.213418
144254425,0.684431,-0.223574
144844484,0.681061,-0.233827
145434543,0.67765,-0.243511
146024602,0.673914,-0.253631
146614661,0.670127,-0.263359
147204720,0.666212,-0.273146
147794779,0.662053,-0.28288
148384838,0.657716,-0.292704
148974897,0.653381,-0.302346
149564956,0.648807,-0.311925
150155015,0.644222,-0.321209
150745074,0.639509,-0.330494
151335133,0.634549,-0.339735
151925192,0.629538,-0.349035
152515251,0.624251,-0.358401
153105310,0.619106,-0.367043
153695369,0.613461,-0.376163
154285428,0.607893,-0.385077
154875487,0.602216,-0.393824
155465546,0.596306,-0.402694
156055605,0.590358,-0.411076
156645664,0.58421,-0.419648
157235723,0.577918,-0.428054
157825782,0.5717,-0.43633
158415841,0.565037,-0.444626
159005900,0.558392,-0.452784
159595959,0.551903,-0.460561
160186018,0.545114,-0.468307
160776077,0.538209,-0.476096
161366136,0.531201,-0.4837
161956195,0.523735,-0.49159
162546254,0.516642,-0.498807
163136313,0.509182,-0.506133
163726372,0.501628,-0.513457
164316431,0.494136,-0.520442
164906490,0.48636,-0.527584
165496549,0.478555,-0.534514
166086608,0.47081,-0.541096
166676667,0.462703,-0.547938
167266726,0.454769,-0.554273
167856785,0.446723,-0.560571
168446844,0.438415,-0.566856
169036903,0.430109,-0.573177
169626962,0.421802,-0.579124
170217021,0.41338,-0.585091
170807080,0.404798,-0.590895
171397139,0.396359,-0.596445
171987198,0.387443,-0.602169
172577257,0.378771,-0.607461
173167316,0.369808,-0.6129
173757375,0.360916,-0.618067
174347434,0.351895,-0.623056
174937493,0.342688,-0.627947
175527552,0.333834,-0.632705
176117611,0.324743,-0.637245
176707670,0.315568,-0.641742
177297729,0.306279,-0.646175
177887788,0.296685,-0.650564
178477847,0.287198,-0.654657
179067906,0.277967,-0.658579
179657965,0.268529,-0.66228
180248024,0.258932,-0.666052
180838083,0.249265,-0.669673
181428142,0.239672,-0.673058
182018201,0.229755,-0.676447
182608260,0.219904,-0.67958
183198319,0.209937,-0.682728
183788378,0.199981,-0.685662
184378437,0.190281,-0.688388
184968496,0.180456,-0.69089
185558555,0.170142,-0.693508
186148614,0.160381,-0.695833
186738673,0.15016,-0.698145
187328732,0.13992,-0.700155
187918791,0.129725,-0.702112
188508850,0.119571,-0.703863
189098909,0.109268,-0.70556
189688968,0.0988598,-0.706956
190279027,0.0884739,-0.708444
190869086,0.0784209,-0.709519
191459145,0.0679402,-0.71056
192049204,0.0577311,-0.711465
192639263,0.0473174,-0.712231
193229322,0.0366795,-0.712912
193819381,0.0265333,-0.713346
194409440,0.0159641,-0.713721
194999499,0.00577491,-0.713721
195589558,-0.00461599,-0.713714
