Frequency (Hz),S12 Real,S12 Imaginary
100000000,0.501268,0.493859
100590059,0.508505,0.486949
101180118,0.515694,0.479826
101770177,0.522668,0.472639
102360236,0.529603,0.46535
102950295,0.536427,0.458039
103540354,0.543143,0.450445
104130413,0.549868,0.442833
104720472,0.556441,0.434941
105310531,0.56282,0.427241
105900590,0.569116,0.419279
106490649,0.575461,0.411088
107080708,0.581483,0.403104
107670767,0.587374,0.394956
108260826,0.593294,0.386563
108850885,0.599206,0.377944
109440944,0.605108,0.369199
110031003,0.61052,0.360688
110621062,0.615958,0.352055
111211121,0.621045,0.343357
111801180,0.62621,0.334514
112391239,0.631376,0.325279
112981298,0.636244,0.316295
113571357,0.641097,0.306974
114161416,0.645789,0.297686
114751475,0.650235,0.28865
115341534,0.654607,0.279131
115931593,0.658855,0.269744
116521652,0.662928,0.260225
117111711,0.66692,0.250556
117701770,0.670699,0.240975
118291829,0.674345,0.231449
118881888,0.677818,0.221598
119471947,0.681275,0.211632
120062006,0.684586,0.201525
120652065,0.687616,0.191767
121242124,0.690428,0.181767
121832183,0.69322,0.171722
122422242,0.695811,0.161648
123012301,0.698294,0.151189
123602360,0.700572,0.140998
124192419,0.702766,0.130366
124782478,0.70478,0.120366
125372537,0.706732,0.109891
125962596,0.708374,0.0994552
126552655,0.709961,0.0889833
127142714,0.711323,0.0788626
127732773,0.712576,0.068447
128322832,0.713623,0.0580075
128912891,0.714606,0.0473516
129502950,0.715305,0.0367348
130093009,0.715909,0.0262561
130683068,0.716278,0.015836
131273127,0.716549,0.00508744
131863186,0.71658,-0.00507003
132453245,0.716475,-0.0159176
133043304,0.716294,-0.0262669
133633363,0.715818,-0.0366155
134223422,0.715347,-0.0475074
134813481,0.7146,-0.0579505
135403540,0.713799,-0.0683836
135993599,0.71276,-0.0789069
136583658,0.711603,-0.0893885
137173717,0.710246,-0.0999109
137763776,0.708752,-0.110081
138353835,0.707104,-0.120297
138943894,0.70524,-0.131008
139533953,0.703185,-0.141301
140124012,0.701128,-0.151844
140714071,0.698831,-0.162089
141304130,0.69636,-0.17257
141894189,0.693813,-0.182561
142484248,0.690995,-0.193062
143074307,0.688095,-0.203187
143664366,0.685058,-0.213203
144254425,0.681843,-0.223333
144844484,0.678443,-0.233492
145434543,0.674914,-0.24343
146024602,0.671276,-0.25325
146614661,0.667523,-0.263035
147204720,0.663557,-0.27279
147794779,0.659324,-0.28283
148384838,0.655065,-0.292404
148974897,0.650846,-0.301954
149564956,0.646381,-0.311321
150155015,0.641844,-0.320326
150745074,0.636942,-0.330137
151335133,0.632023,-0.339303
151925192,0.626896,-0.348555
152515251,0.621791,-0.357567
153105310,0.616483,-0.366352
153695369,0.611026,-0.375289
154285428,0.605325,-0.384389
154875487,0.599575,-0.393143
155465546,0.593816,-0.401683
156055605,0.587809,-0.410223
156645664,0.581571,-0.418713
157235723,0.575496,-0.427023
157825782,0.569079,-0.435378
158415841,0.562798,-0.443343
159005900,0.556209,-0.451363
159595959,0.549207,-0.459568
160186018,0.542579,-0.46713
160776077,0.535741,-0.474862
161366136,0.528531,-0.48266
161956195,0.521487,-0.489976
162546254,0.514149,-0.497513
163136313,0.506757,-0.50477
163726372,0.49926,-0.512147
164316431,0.4917,-0.519062
164906490,0.483757,-0.526307
165496549,0.476176,-0.533022
166086608,0.468456,-0.539519
166676667,0.460347,-0.546252
167266726,0.452327,-0.55278
167856785,0.444247,-0.559058
168446844,0.436179,-0.565362
169036903,0.428048,-0.571288
169626962,0.419584,-0.577398
170217021,0.411256,-0.583193
170807080,0.402836,-0.588856
171397139,0.394279,-0.594465
