Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,658,1,0.0,-0.334372,-0.37077,0.00158634,0.181954,-0.327778,-0.369577,0.00226323,0.180214
PFOA,658,1,60606060.0,-0.66437,0.0848317,-8.75022e-06,-1.92771e-05,-2.1635e-05,-1.0095e-05,0.490766,-0.440566
PFOA,658,1,121212121.0,-0.645496,0.212034,6.03168e-06,-1.79786e-05,-4.05666e-05,4.42691e-05,-0.0971545,-0.702683
PFOA,658,1,181818181.0,-0.609209,0.343699,-1.04344e-05,3.23428e-05,-4.07009e-05,2.36169e-05,-0.705057,-0.280727
PFOA,658,1,242424242.0,-0.550351,0.477048,-1.8612e-05,1.86799e-05,5.69062e-05,5.38409e-05,-0.583188,0.479262
PFOA,658,1,303030303.0,-0.453083,0.605134,6.11816e-05,2.26685e-05,2.18815e-06,2.18106e-05,0.10592,0.705663
PFOA,658,1,363636363.0,-0.307484,0.709369,4.47413e-05,-2.62703e-06,-1.72189e-06,7.96108e-06,0.597666,0.291488
PFOA,658,1,424242424.0,-0.132254,0.784284,1.87743e-05,-0.000129672,-0.00012963,-0.000110778,0.489685,-0.359251
PFOA,658,1,484848484.0,0.0460212,0.795729,-0.000108551,0.000146745,0.000135699,0.000125964,0.351812,-0.5309
PFOA,658,1,545454545.0,0.233573,0.771701,6.72393e-05,8.03924e-05,5.68967e-05,-2.31743e-05,-0.256048,-0.613156
PFOA,658,1,606060606.0,0.397899,0.69762,6.11388e-05,5.69394e-05,9.80935e-06,-0.000146479,-0.651666,-0.192911
PFOA,658,1,666666666.0,0.544733,0.588494,2.99686e-05,-2.15089e-06,6.29259e-05,-2.57925e-05,-0.567688,0.39161
PFOA,658,1,727272727.0,0.670621,0.451353,2.322e-05,-1.2329e-05,4.17419e-06,-5.83748e-05,-0.0135738,0.699679
