Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,458,1,0.0,-0.327625,-0.361172,-0.00594101,0.173164,-0.32195,-0.360402,-0.00416076,0.169288
PFOA,458,1,60606060.0,-0.660263,0.0851165,4.86092e-05,-7.28992e-06,5.3452e-05,2.16304e-05,0.48985,-0.434357
PFOA,458,1,121212121.0,-0.642832,0.211289,-1.24307e-05,5.60835e-05,2.18658e-05,5.04299e-05,-0.0977943,-0.699963
PFOA,458,1,181818181.0,-0.609264,0.343534,2.62943e-05,1.77425e-05,-0.000122852,-6.96331e-05,-0.701167,-0.274962
PFOA,458,1,242424242.0,-0.54858,0.474248,1.26635e-05,-3.80927e-05,7.70598e-06,8.31833e-06,-0.567926,0.480788
PFOA,458,1,303030303.0,-0.447542,0.603799,1.49547e-05,3.29952e-05,-2.13854e-05,2.96863e-06,0.116505,0.684888
PFOA,458,1,363636363.0,-0.306111,0.707954,5.10714e-05,-2.48469e-05,-1.18266e-05,-2.06503e-05,0.592728,0.270298
PFOA,458,1,424242424.0,-0.137915,0.775605,6.43059e-05,-0.000161333,-0.000265715,-9.13284e-05,0.472686,-0.368174
PFOA,458,1,484848484.0,0.0458138,0.799207,-1.2126e-05,0.000152022,0.000120947,0.000178975,0.323431,-0.52929
PFOA,458,1,545454545.0,0.22864,0.766077,2.42885e-05,4.43359e-05,3.55026e-05,-3.84281e-05,-0.267906,-0.597959
PFOA,458,1,606060606.0,0.395507,0.691224,5.33199e-05,2.24994e-05,0.00010384,-3.17597e-05,-0.64487,-0.174239
PFOA,458,1,666666666.0,0.540375,0.588419,4.28816e-05,-4.19223e-05,4.28221e-05,-0.000109006,-0.550522,0.400131
PFOA,458,1,727272727.0,0.669094,0.446323,4.0654e-06,-3.76762e-05,7.11459e-05,-4.26153e-05,-0.00882589,0.699198
PFOA,458,1,787878787.0,0.765907,0.288841,-6.92254e-05,-0.00019581,-1.95933e-05,-0.000147089,0.581111,0.429583
PFOA,458,1,848484848.0,0.820322,0.117634,-0.000136308,-3.75599e-05,-3.52313e-05,-7.28708e-05,0.69212,-0.305362
PFOA,458,1,909090909.0,0.834385,-0.0823738,-0.000153033,9.22558e-05,-0.000117168,-1.26952e-05,-0.0559936,-0.756825
PFOA,458,1,969696969.0,0.788558,-0.294547,-4.08979e-05,0.000145817,-0.000236313,0.000140855,-0.672499,-0.165211
PFOA,458,1,1030303030.0,0.669612,-0.490374,0.000145161,0.000143358,-8.10261e-05,0.00019973,-0.388027,0.487097
PFOA,458,1,1090909090.0,0.497736,-0.643839,0.000113259,-5.80602e-05,2.39315e-06,9.30364e-05,0.176651,0.55964
PFOA,458,1,1151515151.0,0.303015,-0.722008,9.80017e-05,-6.46315e-05,8.93582e-05,7.7504e-05,0.534486,0.232304
PFOA,458,1,1212121212.0,0.117016,-0.746577,-6.70499e-05,-0.000152189,0.000120657,-2.44274e-05,0.547763,-0.239096
PFOA,458,1,1272727272.0,-0.0675666,-0.736087,-4.47733e-05,3.27872e-05,-1.47236e-06,-2.70036e-05,0.20635,-0.574394
PFOA,458,1,1333333333.0,-0.236166,-0.68436,0.000205965,4.89528e-05,-0.00038466,4.0703e-05,-0.278736,-0.543251
PFOA,458,1,1393939393.0,-0.379638,-0.613313,-0.000431685,-0.000187414,0.000639915,8.19461e-05,-0.561624,-0.232059
PFOA,458,1,1454545454.0,-0.513491,-0.510879,-0.000268963,0.000148805,0.000255739,-0.000174288,-0.544223,0.265051
PFOA,458,1,1515151515.0,-0.628087,-0.385635,-0.000244267,0.000385246,0.000376308,-0.00035927,-0.130985,0.589106
PFOA,458,1,1575757575.0,-0.719979,-0.212291,0.000249442,0.000505841,0.000164637,-0.000416668,0.429668,0.438023
PFOA,458,1,1636363636.0,-0.7642,-0.0259588,0.000574053,0.000199458,-0.000263804,-0.000590034,0.580118,-0.208943
PFOA,458,1,1696969696.0,-0.746778,0.184233,0.000621422,-0.000452592,-0.000495424,-0.000334594,-0.0203579,-0.589679
PFOA,458,1,1757575757.0,-0.660691,0.386875,1.08622e-05,-0.000716265,-0.00071704,3.17086e-05,-0.514909,-0.184936
PFOA,458,1,1818181818.0,-0.529972,0.536451,-0.00059826,-0.000542146,-0.000682948,0.000270211,-0.406709,0.32336
PFOA,458,1,1878787878.0,-0.38738,0.634166,-0.000716413,-7.85934e-05,-0.000445456,0.000579275,-0.00474586,0.513158
PFOA,458,1,1939393939.0,-0.237032,0.696246,-0.000771559,0.000369879,-0.000230963,0.000752941,0.402414,0.341833
PFOA,458,1,2000000000.0,-0.0830764,0.726004,-0.000258109,0.000787125,6.84256e-05,0.000787891,0.541285,-0.0887974
PFOA,458,1,2060606060.0,0.0718559,0.730439,0.000245474,0.000814623,0.000477048,0.00082172,0.261449,-0.497691
PFOA,458,1,2121212121.0,0.23417,0.704202,0.00091724,0.000566304,0.00103124,0.000603147,-0.258302,-0.498798
PFOA,458,1,2181818181.0,0.39603,0.630217,0.00129856,-0.000392321,0.00144556,2.75403e-05,-0.542717,-0.0727002
PFOA,458,1,2242424242.0,0.541328,0.511808,0.00086012,-0.00209731,0.00190483,-0.00125113,-0.319131,0.399743
PFOA,458,1,2303030303.0,0.64762,0.348952,-0.00121658,0.000584254,-0.000895167,-0.000528104,0.0275393,0.497323
