Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,999,1,0.0,-0.32911,-0.364163,-0.00607105,0.173664,-0.323126,-0.36216,-0.00395236,0.169817
PFOA,999,1,60606060.0,-0.660935,0.0864722,4.61505e-05,-1.12169e-05,-3.72884e-05,1.17171e-05,0.487495,-0.436571
PFOA,999,1,121212121.0,-0.642042,0.214208,4.50029e-05,-1.89788e-07,-4.69252e-05,3.46671e-05,-0.102835,-0.697679
PFOA,999,1,181818181.0,-0.606787,0.344852,-3.87278e-05,5.36153e-05,8.74053e-08,2.50342e-05,-0.705676,-0.275226
PFOA,999,1,242424242.0,-0.544351,0.473718,-1.22304e-05,-3.58306e-05,4.27134e-05,-1.46994e-05,-0.576992,0.483277
PFOA,999,1,303030303.0,-0.448494,0.598506,-2.62571e-05,3.28619e-05,5.25573e-05,-3.11333e-05,0.1145,0.698079
PFOA,999,1,363636363.0,-0.312161,0.710436,5.82899e-05,1.66748e-05,-2.60996e-05,7.44024e-06,0.601881,0.275107
PFOA,999,1,424242424.0,-0.13724,0.781861,6.3075e-05,-0.000174142,-5.28033e-05,-8.05549e-05,0.476196,-0.371729
PFOA,999,1,484848484.0,0.0462956,0.799785,-4.29512e-05,0.000119546,0.000100826,9.26384e-05,0.327247,-0.535442
PFOA,999,1,545454545.0,0.23683,0.766323,2.73163e-05,9.48271e-05,-8.92011e-06,-2.53277e-06,-0.2679,-0.598329
PFOA,999,1,606060606.0,0.402677,0.696183,0.000111924,5.91029e-05,5.18693e-05,3.19841e-07,-0.650469,-0.174908
PFOA,999,1,666666666.0,0.542077,0.591665,2.09419e-05,-5.58121e-05,7.03853e-05,-9.46664e-05,-0.553593,0.400278
PFOA,999,1,727272727.0,0.675036,0.448519,1.37335e-05,-3.42378e-05,4.24128e-05,-7.6732e-05,-0.0114915,0.695616
PFOA,999,1,787878787.0,0.766608,0.289019,-2.41329e-05,-4.21875e-05,-1.23772e-05,-7.06022e-05,0.582535,0.431503
PFOA,999,1,848484848.0,0.821796,0.117095,-0.000127136,-1.75045e-05,-8.49006e-05,-5.7917e-05,0.694257,-0.304946
PFOA,999,1,909090909.0,0.835534,-0.0827356,-0.000145601,8.61968e-06,-9.59876e-05,5.60531e-06,-0.0550136,-0.761507
PFOA,999,1,969696969.0,0.786752,-0.292824,8.83858e-06,0.000150798,-0.000148849,6.20796e-05,-0.676342,-0.165159
PFOA,999,1,1030303030.0,0.671144,-0.492074,0.000131797,0.000126177,-0.0001354,5.30182e-05,-0.389899,0.495035
PFOA,999,1,1090909090.0,0.497848,-0.639093,0.000103808,-1.2982e-05,-7.19198e-05,0.000165595,0.174817,0.570202
PFOA,999,1,1151515151.0,0.307782,-0.720795,8.5019e-05,-7.01142e-05,0.000114279,-3.52866e-05,0.542318,0.237619
PFOA,999,1,1212121212.0,0.112691,-0.745853,-9.7627e-05,-4.80373e-05,8.07e-05,3.22149e-05,0.558005,-0.243014
PFOA,999,1,1272727272.0,-0.0692249,-0.730743,-1.14983e-05,-2.23843e-05,1.36269e-05,1.20008e-06,0.216532,-0.583668
PFOA,999,1,1333333333.0,-0.234279,-0.687001,0.000211017,5.60948e-05,-0.000253328,-9.49194e-05,-0.284703,-0.553902
PFOA,999,1,1393939393.0,-0.3821,-0.61246,-0.000382929,-0.000195533,0.000435654,0.000123876,-0.570497,-0.235092
PFOA,999,1,1454545454.0,-0.512827,-0.511604,-0.00023735,0.000112158,0.000259366,-0.00013311,-0.551784,0.268688
PFOA,999,1,1515151515.0,-0.629149,-0.382278,-0.00024044,0.000265471,0.000257459,-0.000163193,-0.13823,0.598361
PFOA,999,1,1575757575.0,-0.722537,-0.214508,0.000131755,0.000331576,0.000141764,-0.000362588,0.432961,0.436551
PFOA,999,1,1636363636.0,-0.765257,-0.0269386,0.000658025,0.00020625,-9.45452e-05,-0.000529581,0.581263,-0.208913
PFOA,999,1,1696969696.0,-0.748551,0.184294,0.000493542,-0.000299935,-0.00042975,-0.000441712,-0.0191868,-0.591023
PFOA,999,1,1757575757.0,-0.660762,0.389997,8.84675e-05,-0.000656704,-0.000642291,-4.33114e-05,-0.518604,-0.183404
