Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,658,1,0.0,-0.336646,-0.363933,0.00481116,0.183016,-0.330055,-0.371315,0.00545903,0.185393
PFOA,658,1,60606060.0,-0.662724,0.0852792,3.58465e-06,-7.93794e-05,-1.87339e-05,5.16637e-05,0.489729,-0.435986
PFOA,658,1,121212121.0,-0.645089,0.213851,6.63598e-06,6.23251e-05,8.04548e-05,-1.17946e-05,-0.103777,-0.700281
PFOA,658,1,181818181.0,-0.608398,0.342138,-5.11784e-05,1.69428e-05,-4.39563e-05,-4.51427e-05,-0.702856,-0.28073
PFOA,658,1,242424242.0,-0.551102,0.472753,3.75939e-05,3.68737e-05,2.52258e-05,-5.76288e-05,-0.583186,0.480564
PFOA,658,1,303030303.0,-0.447295,0.600909,3.26866e-05,3.06893e-05,2.99708e-05,-2.02046e-05,0.100559,0.699347
PFOA,658,1,363636363.0,-0.307939,0.713154,-1.14429e-05,4.41026e-05,1.61669e-05,-5.75516e-05,0.597608,0.289061
PFOA,658,1,424242424.0,-0.130295,0.77962,4.45922e-05,-0.00024252,-0.000153516,-8.33765e-05,0.488959,-0.358373
PFOA,658,1,484848484.0,0.0528908,0.795168,-4.95494e-05,9.26108e-05,0.000103533,7.91581e-05,0.349764,-0.52509
PFOA,658,1,545454545.0,0.235955,0.764622,9.05155e-05,7.5173e-05,5.20248e-06,1.75949e-05,-0.251596,-0.609936
PFOA,658,1,606060606.0,0.395764,0.696527,8.552e-05,-2.30229e-05,7.19516e-06,-6.81013e-05,-0.649519,-0.191704
PFOA,658,1,666666666.0,0.545849,0.588412,5.68463e-05,-1.07508e-05,0.000100151,4.05154e-06,-0.565005,0.390193
PFOA,658,1,727272727.0,0.66965,0.450911,2.90353e-05,-9.97651e-06,4.14055e-05,-8.77316e-05,-0.0136505,0.700209
PFOA,658,1,787878787.0,0.763857,0.28885,-7.30664e-06,-5.51289e-05,-7.48381e-06,-2.74042e-05,0.580212,0.437711
PFOA,658,1,848484848.0,0.820822,0.118733,-9.46011e-05,1.93248e-06,-1.86236e-05,-0.000117943,0.694898,-0.304776
PFOA,658,1,909090909.0,0.835105,-0.0816983,-0.000108512,0.000104455,-0.000176693,-9.13396e-05,-0.0455703,-0.757945
PFOA,658,1,969696969.0,0.790646,-0.292155,-1.70127e-05,4.10655e-05,-0.000121714,-2.72002e-05,-0.682258,-0.186691
PFOA,658,1,1030303030.0,0.671031,-0.490747,0.000136878,6.90135e-05,-0.000143183,0.000158529,-0.420393,0.488398
PFOA,658,1,1090909090.0,0.503179,-0.643071,0.000119512,-2.36276e-05,-1.3824e-05,0.000153914,0.152291,0.593584
PFOA,658,1,1151515151.0,0.311446,-0.722866,6.20149e-05,-4.24592e-05,3.24928e-05,1.64904e-05,0.541066,0.277117
PFOA,658,1,1212121212.0,0.11064,-0.754117,4.84908e-05,-3.47033e-05,5.0815e-05,1.90284e-05,0.584538,-0.208254
PFOA,658,1,1272727272.0,-0.0664641,-0.729574,-6.91662e-06,-4.15986e-05,7.15776e-05,8.3269e-06,0.26208,-0.583717
PFOA,658,1,1333333333.0,-0.235193,-0.688202,0.000204228,0.000107367,-0.000297047,3.27556e-05,-0.251436,-0.586304
PFOA,658,1,1393939393.0,-0.380454,-0.615338,-0.00039295,-0.00027906,0.00052424,0.000168944,-0.569164,-0.280922
PFOA,658,1,1454545454.0,-0.516546,-0.514159,-0.000287346,9.76996e-05,0.000334339,-0.000153755,-0.578805,0.242037
PFOA,658,1,1515151515.0,-0.628799,-0.383485,-0.000154641,0.000362714,0.000324982,-0.000246423,-0.164206,0.603159
PFOA,658,1,1575757575.0,-0.723887,-0.213505,0.000134253,0.000437627,0.000173685,-0.000426517,0.423231,0.453379
