Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,458,1,0.0,-0.328827,-0.362495,-0.00525794,0.17376,-0.321626,-0.362542,-0.00480231,0.171657
PFOA,458,1,60606060.0,-0.660437,0.0856869,-2.39969e-06,-1.32588e-06,2.26148e-05,-8.40257e-06,0.491009,-0.435407
PFOA,458,1,121212121.0,-0.642273,0.212059,-1.95293e-05,2.57087e-06,-3.02604e-05,1.50667e-05,-0.0978977,-0.69983
PFOA,458,1,181818181.0,-0.609343,0.341609,4.16393e-05,-1.27354e-05,4.46347e-05,7.57909e-05,-0.703001,-0.27732
PFOA,458,1,242424242.0,-0.545611,0.470958,2.98379e-05,6.64829e-05,-3.61601e-05,8.05143e-05,-0.577192,0.483919
PFOA,458,1,303030303.0,-0.445642,0.602438,-1.88041e-05,-7.45476e-06,-2.89823e-05,-6.10361e-05,0.115949,0.690949
PFOA,458,1,363636363.0,-0.307391,0.706534,4.31728e-05,-2.76239e-05,2.33354e-05,6.57297e-07,0.597973,0.272525
PFOA,458,1,424242424.0,-0.132668,0.782579,0.000104065,-0.000265615,-0.000140087,-2.08803e-05,0.474862,-0.368077
PFOA,458,1,484848484.0,0.0448127,0.79563,-5.39277e-05,0.000204038,0.000181439,0.0002032,0.328689,-0.534975
PFOA,458,1,545454545.0,0.230678,0.764048,1.63191e-05,1.62667e-05,0.000127395,-8.63585e-06,-0.267111,-0.602563
PFOA,458,1,606060606.0,0.4032,0.693298,9.71792e-05,5.10756e-05,7.17306e-05,6.92235e-06,-0.648441,-0.174401
PFOA,458,1,666666666.0,0.541281,0.591655,9.15172e-05,-2.03699e-05,-1.2503e-05,-3.40728e-05,-0.552866,0.39979
PFOA,458,1,727272727.0,0.670512,0.446797,5.09502e-05,-6.92191e-05,7.08775e-05,-2.05336e-05,-0.0128989,0.701149
PFOA,458,1,787878787.0,0.766544,0.290186,3.51062e-05,-0.000150106,-6.41427e-06,-0.00014578,0.582661,0.430967
PFOA,458,1,848484848.0,0.82227,0.117432,-8.61207e-05,-5.12416e-05,-4.71514e-05,-8.15074e-05,0.695956,-0.304128
PFOA,458,1,909090909.0,0.834622,-0.081695,-0.000206847,-6.46916e-05,-0.000156457,-3.77609e-05,-0.0507864,-0.754054
PFOA,458,1,969696969.0,0.786911,-0.292012,2.78525e-05,0.000107442,-0.000206445,9.4188e-05,-0.674701,-0.165469
PFOA,458,1,1030303030.0,0.672147,-0.494922,0.000165106,9.01977e-05,-7.14838e-05,0.000150091,-0.386191,0.491977
PFOA,458,1,1090909090.0,0.500585,-0.640341,0.000119469,-4.12879e-05,1.15166e-05,9.12546e-05,0.174387,0.569053
PFOA,458,1,1151515151.0,0.302505,-0.72259,7.74953e-05,-0.000100174,6.90388e-05,-1.23096e-06,0.540775,0.235579
PFOA,458,1,1212121212.0,0.112491,-0.744647,-6.36013e-05,-0.000107297,9.24724e-05,4.55935e-05,0.555713,-0.240742
PFOA,458,1,1272727272.0,-0.0686614,-0.729665,-5.55828e-05,4.26444e-07,-3.54633e-06,-4.15936e-05,0.213969,-0.583841
PFOA,458,1,1333333333.0,-0.232597,-0.686922,0.0002133,6.01853e-05,-0.000318112,-1.95556e-05,-0.283108,-0.55159
PFOA,458,1,1393939393.0,-0.380705,-0.612867,-0.000395813,-0.000204745,0.000434397,0.000153851,-0.568686,-0.235008
PFOA,458,1,1454545454.0,-0.512965,-0.511962,-0.000242403,0.000124864,0.000291445,-0.000131652,-0.551221,0.268207
PFOA,458,1,1515151515.0,-0.627494,-0.382516,-0.000166833,0.000302188,0.000308754,-0.000199921,-0.136977,0.598414
PFOA,458,1,1575757575.0,-0.720663,-0.215544,0.000140326,0.000454649,0.000148651,-0.000460756,0.434658,0.438726
PFOA,458,1,1636363636.0,-0.765045,-0.0270637,0.000472709,0.000218664,-5.21331e-05,-0.000474067,0.581825,-0.20944
PFOA,458,1,1696969696.0,-0.74956,0.181492,0.000558854,-0.000402866,-0.000417403,-0.000498511,-0.0179414,-0.595092
PFOA,458,1,1757575757.0,-0.659335,0.389758,5.74525e-05,-0.000731598,-0.000570196,-0.000134549,-0.518724,-0.18372
PFOA,458,1,1818181818.0,-0.535796,0.537431,-0.000302632,-0.000450379,-0.000558186,0.000266346,-0.406434,0.33151
PFOA,458,1,1878787878.0,-0.389285,0.633903,-0.00060384,-0.000130962,-0.000460513,0.000447329,0.00193869,0.523536
PFOA,458,1,1939393939.0,-0.240997,0.69942,-0.000682732,0.000339864,-0.000263334,0.000650021,0.418083,0.344363
PFOA,458,1,2000000000.0,-0.0896374,0.727169,-0.000295441,0.000622026,-7.2684e-05,0.000823992,0.554741,-0.103915
PFOA,458,1,2060606060.0,0.0714378,0.730242,8.68535e-05,0.00080138,0.000295712,0.000913398,0.259993,-0.522644
PFOA,458,1,2121212121.0,0.234142,0.706619,0.000799797,0.000639608,0.000861285,0.000682523,-0.28474,-0.506484
PFOA,458,1,2181818181.0,0.391832,0.634956,0.00132573,-0.000211081,0.00134681,0.000244748,-0.55843,-0.0547775
PFOA,458,1,2242424242.0,0.541368,0.51832,0.00103881,-0.00185896,0.00194019,-0.00105493,-0.313142,0.418775
PFOA,458,1,2303030303.0,0.650253,0.35276,-0.00110549,0.000258188,-0.000868759,-0.000616076,0.0426038,0.506578
PFOA,458,1,2363636363.0,0.699496,0.171146,-0.000252826,-0.000125791,1.02721e-06,-0.000397199,0.497361,0.26397
PFOA,458,1,2424242424.0,0.691038,0.00726444,-0.000637138,-0.000202905,-2.74375e-05,-0.000667718,0.517964,-0.267985
PFOA,458,1,2484848484.0,0.647777,-0.120662,-0.000847672,0.000433382,-0.000446872,-0.00103435,0.0670043,-0.570534
PFOA,458,1,2545454545.0,0.593376,-0.21025,-0.000514138,0.00130594,-0.000956955,-0.000947315,-0.436092,-0.32733
PFOA,458,1,2606060606.0,0.537666,-0.280031,0.000591224,0.00136955,-0.0016322,-0.00049716,-0.427418,0.233606
PFOA,458,1,2666666666.0,0.471232,-0.348526,0.00172814,0.000431616,-0.00201228,0.000629374,0.0860301,0.402902
PFOA,458,1,2727272727.0,0.406001,-0.408161,0.00148272,-0.000977398,-0.0012967,0.00176298,0.346972,0.0190918
PFOA,458,1,2787878787.0,0.331658,-0.465212,0.000315585,-0.00168497,-0.000239223,0.00201962,0.138426,-0.273582
PFOA,458,1,2848484848.0,0.245585,-0.528519,-0.00071256,-0.00154556,0.00053454,0.00179662,-0.135242,-0.263635
PFOA,458,1,2909090909.0,0.141169,-0.581438,-0.00158669,-0.000967376,0.00106309,0.00153206,-0.286242,-0.0918438
PFOA,458,1,2969696969.0,-0.00628623,-0.608927,-0.00216029,8.45689e-06,0.00168251,0.0012856,-0.294494,0.103636
PFOA,458,1,3030303030.0,-0.157979,-0.60302,-0.00235988,0.001539,0.00247208,0.000836417,-0.189115,0.274071
PFOA,458,1,3090909090.0,-0.322004,-0.540282,-0.00124504,0.00404434,0.0037953,-0.000500222,0.0437712,0.354621
PFOA,458,1,3151515151.0,-0.469875,-0.407294,0.00541218,0.00519444,0.00407289,-0.0054588,0.30984,0.123304
PFOA,458,1,3212121212.0,-0.555751,-0.224278,0.00353192,-0.00673729,-0.00545931,-0.00428224,0.0681647,0.0690393
PFOA,458,1,3272727272.0,-0.570269,-0.0465611,-0.0022118,-0.00217152,-0.00286304,0.00078819,0.318455,-0.0869885
PFOA,458,1,3333333333.0,-0.53821,0.108406,-0.000760871,-0.000795713,-0.000895442,-0.000118187,-0.101691,-0.353169
PFOA,458,1,3393939393.0,-0.470527,0.242533,-0.00197628,-0.00115119,-0.00201828,-0.000378006,-0.241485,0.142658
PFOA,458,1,3454545454.0,-0.376089,0.351085,-0.00265437,0.000585591,-0.00238447,0.000858103,0.126795,0.239701
PFOA,458,1,3515151515.0,-0.27962,0.417679,-0.00167634,0.00220845,-0.00189027,0.00165209,0.308415,0.007471
PFOA,458,1,3575757575.0,-0.160836,0.466591,-2.41964e-05,0.00316795,-0.0012595,0.00229986,0.244483,-0.249102
PFOA,458,1,3636363636.0,-0.0430576,0.470436,0.00195868,0.00282769,-0.000597719,0.00299327,0.0223048,-0.390959
PFOA,458,1,3696969696.0,0.0677922,0.446406,0.00380853,0.00118727,0.000391099,0.00331752,-0.258032,-0.328137
PFOA,458,1,3757575757.0,0.155895,0.395525,0.00421295,-0.00186756,0.00209348,0.0036344,-0.433676,-0.0547992
PFOA,458,1,3818181818.0,0.219335,0.330562,0.00208483,-0.00510394,0.00437048,0.00299692,-0.312074,0.303868
PFOA,458,1,3878787878.0,0.262968,0.265595,-0.00267545,-0.005636,0.0063644,0.000187829,0.0962748,0.364928
PFOA,458,1,3939393939.0,0.290301,0.19907,-0.00638469,-0.00220059,0.00609241,-0.00401597,0.27385,0.0237073
PFOA,458,1,4000000000.0,0.307676,0.139887,-0.00666045,0.0030893,0.00305788,-0.00731004,0.0365148,-0.200534
PFOA,458,1,4060606060.0,0.317534,0.0862273,-0.00278602,0.0075597,-0.00178942,-0.0087263,-0.21831,-0.0399095
PFOA,458,1,4121212121.0,0.320711,0.050303,0.00409589,0.00738443,-0.00759365,-0.00613833,-0.086159,0.254582
