Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,684,1,0.0,-0.33372,-0.363293,-0.00380673,0.173369,-0.324672,-0.363076,-0.00477337,0.167553
PFOA,684,1,60606060.0,-0.661275,0.0855694,-2.66379e-06,-1.24717e-05,6.7361e-05,-4.48294e-05,0.488166,-0.437958
PFOA,684,1,121212121.0,-0.643625,0.21208,3.75399e-05,-2.40254e-05,-6.20128e-06,-7.73984e-05,-0.0985132,-0.703196
PFOA,684,1,181818181.0,-0.609987,0.343431,-3.01712e-05,-2.03118e-05,3.39654e-05,3.8002e-05,-0.705272,-0.277341
PFOA,684,1,242424242.0,-0.546519,0.475073,1.17125e-05,4.08017e-05,-3.40639e-05,3.51979e-05,-0.573746,0.482773
PFOA,684,1,303030303.0,-0.446685,0.59898,-2.25444e-05,-2.04608e-05,2.71226e-06,1.37673e-05,0.112747,0.693786
PFOA,684,1,363636363.0,-0.307843,0.705397,-4.14677e-05,4.45169e-05,-3.38416e-05,8.55723e-06,0.598419,0.274144
PFOA,684,1,424242424.0,-0.136149,0.781642,-8.71046e-06,-0.000188516,-0.000133256,-0.000121602,0.475439,-0.370577
PFOA,684,1,484848484.0,0.0488415,0.793439,4.11656e-05,0.000175206,9.41337e-05,9.88404e-05,0.332358,-0.53308
PFOA,684,1,545454545.0,0.230315,0.770096,2.01295e-05,0.00016805,7.95354e-05,9.55672e-05,-0.271605,-0.600854
PFOA,684,1,606060606.0,0.395435,0.692929,6.45763e-05,2.72993e-05,1.49688e-05,3.37881e-05,-0.648861,-0.176746
PFOA,684,1,666666666.0,0.544563,0.586417,0.000100867,-4.28292e-05,5.085e-05,-5.07531e-05,-0.557167,0.399247
PFOA,684,1,727272727.0,0.669555,0.447711,-3.26124e-05,-4.05935e-05,5.18728e-05,-8.41413e-05,-0.0113555,0.702641
PFOA,684,1,787878787.0,0.767101,0.289057,-2.64252e-05,-6.76415e-05,6.29486e-05,-4.16959e-05,0.581149,0.431968
