Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,600,1,0.0,-0.332986,-0.356766,-0.00594738,0.165673,-0.328065,-0.357586,-0.00489129,0.162431
PFOA,600,1,60606060.0,-0.660996,0.0850024,-1.80229e-05,3.85643e-05,2.01156e-06,9.28132e-05,0.490781,-0.438072
PFOA,600,1,121212121.0,-0.643037,0.213904,-2.69984e-05,-2.01843e-05,9.44767e-07,-2.12862e-05,-0.104659,-0.69825
PFOA,600,1,181818181.0,-0.606444,0.34338,4.70961e-05,-5.26286e-05,-3.06983e-06,-4.7997e-05,-0.70263,-0.27397
PFOA,600,1,242424242.0,-0.549684,0.472638,-2.96557e-05,-3.42376e-06,4.92984e-05,-6.04095e-05,-0.571974,0.485293
PFOA,600,1,303030303.0,-0.450717,0.598436,3.77396e-05,-2.73925e-05,-0.000128402,-5.16796e-05,0.115689,0.695823
PFOA,600,1,363636363.0,-0.306825,0.7076,0.000108849,-2.68455e-05,8.18018e-06,4.90511e-05,0.59701,0.27155
PFOA,600,1,424242424.0,-0.135483,0.782404,8.19383e-05,-0.000196518,-7.79301e-05,-9.32473e-05,0.472308,-0.369026
PFOA,600,1,484848484.0,0.0437774,0.796165,-7.65875e-06,0.000213531,0.00012879,0.000103775,0.325834,-0.534416
PFOA,600,1,545454545.0,0.229251,0.768364,5.62215e-05,8.70028e-05,0.000139534,1.92098e-05,-0.271575,-0.599818
PFOA,600,1,606060606.0,0.397586,0.69673,4.81918e-05,8.49531e-05,2.49206e-05,-2.27869e-05,-0.648643,-0.173908
PFOA,600,1,666666666.0,0.540493,0.589446,2.95479e-05,7.87373e-06,-1.81424e-05,-6.33078e-05,-0.552661,0.401308
PFOA,600,1,727272727.0,0.674041,0.447104,9.14177e-06,-9.99095e-05,4.06252e-05,4.08837e-05,-0.0138736,0.695585
PFOA,600,1,787878787.0,0.766797,0.289624,-6.3208e-05,-0.000145883,1.26302e-05,-4.60367e-09,0.581851,0.430833
PFOA,600,1,848484848.0,0.821003,0.117002,-6.34038e-05,-4.32765e-05,-3.03252e-05,-4.70726e-05,0.694392,-0.307057
PFOA,600,1,909090909.0,0.834615,-0.0828834,-0.000193357,5.47538e-05,-2.84659e-05,2.2153e-05,-0.0548574,-0.753776
PFOA,600,1,969696969.0,0.787069,-0.294521,-2.12352e-05,0.000117915,-0.000144173,5.33052e-05,-0.674755,-0.162696
