Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,453,1,0.0,-0.329993,-0.374983,0.00749414,0.194956,-0.320012,-0.375887,0.00893207,0.195297
PFOA,453,1,60606060.0,-0.668521,0.0839233,5.34411e-05,3.96925e-05,3.78721e-05,3.25719e-05,0.493542,-0.441879
PFOA,453,1,121212121.0,-0.649821,0.212518,2.99935e-06,-3.91628e-05,6.07732e-05,8.66314e-05,-0.0987703,-0.692423
PFOA,453,1,181818181.0,-0.614955,0.343246,-3.93052e-05,-1.73227e-05,1.85784e-05,8.11083e-05,-0.676767,-0.270545
PFOA,453,1,242424242.0,-0.554944,0.477445,4.07353e-05,-1.98457e-05,4.08008e-05,-3.20789e-05,-0.552332,0.447698
PFOA,453,1,303030303.0,-0.449932,0.60659,-2.23576e-05,-8.06045e-06,4.50181e-05,3.57078e-05,0.0814474,0.653084
PFOA,453,1,363636363.0,-0.312382,0.710667,7.80921e-05,1.09403e-05,4.02583e-05,1.3712e-06,0.548794,0.285839
PFOA,453,1,424242424.0,-0.133597,0.787079,2.14304e-05,-0.000123021,-0.000111867,-9.67942e-05,0.466994,-0.32763
PFOA,453,1,484848484.0,0.0441383,0.802017,-8.63984e-05,7.8337e-05,0.000175186,2.78848e-05,0.339377,-0.48721
PFOA,453,1,545454545.0,0.236575,0.772865,4.88969e-05,2.64903e-05,8.12405e-05,3.98363e-05,-0.22844,-0.585942
PFOA,453,1,606060606.0,0.397293,0.693908,4.42672e-05,6.82798e-06,6.52497e-05,-4.97365e-05,-0.621833,-0.199527
PFOA,453,1,666666666.0,0.545757,0.59349,6.47919e-05,-4.60111e-05,9.48565e-05,1.65308e-05,-0.558511,0.372606
PFOA,453,1,727272727.0,0.67173,0.450305,7.2805e-07,-4.17551e-05,5.81133e-05,-1.01535e-05,-0.0288375,0.692617
PFOA,453,1,787878787.0,0.765661,0.290992,1.18867e-06,-8.1104e-05,2.64796e-05,-0.000115665,0.573769,0.441882
