Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,624,1,0.0,-0.332942,-0.357757,-0.00321964,0.16908,-0.325918,-0.356168,-0.00287621,0.166835
PFOA,624,1,60606060.0,-0.661078,0.0852657,-3.15257e-05,5.41266e-06,-9.78822e-06,4.05119e-05,0.490426,-0.438636
PFOA,624,1,121212121.0,-0.644085,0.212982,1.64956e-05,-5.17876e-05,3.60758e-05,3.12525e-05,-0.10228,-0.703792
PFOA,624,1,181818181.0,-0.608798,0.341389,4.57734e-06,4.20747e-05,-2.46372e-05,7.40179e-05,-0.703461,-0.27722
PFOA,624,1,242424242.0,-0.54951,0.473606,-2.27802e-05,-1.47163e-05,5.19642e-05,-2.82051e-05,-0.573432,0.486525
PFOA,624,1,303030303.0,-0.452334,0.601026,-1.99081e-05,2.1908e-05,-2.68626e-05,-7.08675e-05,0.118481,0.697942
PFOA,624,1,363636363.0,-0.306811,0.708309,4.08153e-05,1.57252e-05,2.18021e-05,-3.30428e-05,0.599099,0.272924
PFOA,624,1,424242424.0,-0.136069,0.774147,3.04553e-05,-0.000114761,-0.000132513,-8.02067e-05,0.478065,-0.371109
PFOA,624,1,484848484.0,0.0467551,0.800482,1.31512e-05,0.000245245,0.000117273,8.91831e-05,0.325995,-0.533513
PFOA,624,1,545454545.0,0.232198,0.762582,9.163e-05,3.75091e-05,6.05716e-05,4.77264e-05,-0.266216,-0.601362
PFOA,624,1,606060606.0,0.402027,0.691396,9.10605e-05,4.00252e-05,2.5437e-05,-1.25128e-05,-0.648479,-0.175263
PFOA,624,1,666666666.0,0.541571,0.591652,0.000104596,-5.65097e-05,3.73383e-05,-2.2889e-05,-0.55319,0.399382
PFOA,624,1,727272727.0,0.672814,0.450464,-2.9493e-05,-5.20262e-05,-4.1104e-05,-3.04335e-05,-0.00803828,0.696715
PFOA,624,1,787878787.0,0.766454,0.289705,-0.00010999,-7.2837e-05,-2.42641e-05,-0.000217876,0.582661,0.431808
PFOA,624,1,848484848.0,0.820689,0.117316,-9.39312e-05,-6.24084e-05,-4.75385e-05,-0.000125955,0.694823,-0.306389
PFOA,624,1,909090909.0,0.834635,-0.0825879,-0.000171877,2.54511e-05,-0.000119432,-8.25815e-06,-0.0528178,-0.753696
PFOA,624,1,969696969.0,0.789534,-0.291466,2.82544e-05,0.000104621,-0.000165356,7.95433e-05,-0.675671,-0.16622
PFOA,624,1,1030303030.0,0.667794,-0.494544,0.000204215,0.00015997,-3.63454e-05,0.000135771,-0.388309,0.489535
PFOA,624,1,1090909090.0,0.497718,-0.643626,0.000136723,-5.76189e-05,3.6923e-05,0.000145047,0.179269,0.565972
PFOA,624,1,1151515151.0,0.3014,-0.72167,7.21185e-05,-2.04791e-05,0.000125193,8.8153e-05,0.54106,0.235259
PFOA,624,1,1212121212.0,0.117615,-0.744707,-7.19736e-05,-7.42612e-08,0.000161381,3.87336e-05,0.554998,-0.24292
PFOA,624,1,1272727272.0,-0.068699,-0.733996,2.5023e-05,6.79097e-06,4.42313e-05,-6.58723e-05,0.211248,-0.581723
PFOA,624,1,1333333333.0,-0.23066,-0.681513,0.000214874,0.00011065,-0.000262877,5.05137e-05,-0.280662,-0.555052
PFOA,624,1,1393939393.0,-0.376818,-0.608074,-0.000334405,-0.000243515,0.000463428,8.88606e-05,-0.569036,-0.236672
PFOA,624,1,1454545454.0,-0.511397,-0.514638,-0.000272163,8.76311e-05,0.000224105,-8.56956e-05,-0.549626,0.268165
PFOA,624,1,1515151515.0,-0.631061,-0.384914,-0.000208332,0.000259753,0.000318613,-0.000220259,-0.135561,0.591941
PFOA,624,1,1575757575.0,-0.720802,-0.214658,0.000125501,0.000398548,0.00014613,-0.000386311,0.435409,0.439477
PFOA,624,1,1636363636.0,-0.765391,-0.0267568,0.000422586,0.000206208,-0.000108079,-0.00051968,0.581215,-0.209566
PFOA,624,1,1696969696.0,-0.748459,0.182241,0.000511234,-0.000225501,-0.000517295,-0.000469084,-0.0174773,-0.591524
PFOA,624,1,1757575757.0,-0.660209,0.390363,6.51998e-05,-0.000599164,-0.000665595,-9.37642e-05,-0.519239,-0.183475
PFOA,624,1,1818181818.0,-0.532179,0.53669,-0.000409687,-0.000437213,-0.000611388,0.000316338,-0.408086,0.329809
PFOA,624,1,1878787878.0,-0.389668,0.635696,-0.000625978,-0.000206774,-0.000480513,0.000475088,0.00325841,0.523547
PFOA,624,1,1939393939.0,-0.242261,0.699362,-0.000681007,0.000330021,-0.000240019,0.000582677,0.421095,0.339475
PFOA,624,1,2000000000.0,-0.0832477,0.727171,-0.000344337,0.000867495,-7.39618e-05,0.000707687,0.551356,-0.106585
PFOA,624,1,2060606060.0,0.0709132,0.734183,0.000162474,0.000815317,0.000394083,0.000809855,0.249868,-0.522357
PFOA,624,1,2121212121.0,0.236817,0.707961,0.000760073,0.000580847,0.000848001,0.000666727,-0.28661,-0.499829
PFOA,624,1,2181818181.0,0.399242,0.634944,0.00138532,-0.000246721,0.00121704,0.00021069,-0.554329,-0.0497929
PFOA,624,1,2242424242.0,0.544079,0.514578,0.00106248,-0.00175341,0.00185303,-0.000995947,-0.31397,0.415983
PFOA,624,1,2303030303.0,0.648332,0.349866,-0.00118455,0.000305406,-0.000739608,-0.000581827,0.0443197,0.507833
PFOA,624,1,2363636363.0,0.700096,0.171701,-0.000242034,-0.00011237,-2.2603e-06,-0.000450489,0.497136,0.262043
PFOA,624,1,2424242424.0,0.691235,0.00717569,-0.000699839,-2.14822e-05,-5.54971e-05,-0.000757614,0.514324,-0.266103
PFOA,624,1,2484848484.0,0.648906,-0.120706,-0.000939861,0.000462888,-0.000374265,-0.000971627,0.064461,-0.573652
PFOA,624,1,2545454545.0,0.593802,-0.210897,-0.000578487,0.00109681,-0.000944771,-0.00102525,-0.435472,-0.326265
PFOA,624,1,2606060606.0,0.536036,-0.28111,0.000657827,0.00149902,-0.0015393,-0.000489937,-0.426563,0.231057
PFOA,624,1,2666666666.0,0.4734,-0.34582,0.00160126,0.000346287,-0.00189111,0.000557811,0.0799846,0.405062
PFOA,624,1,2727272727.0,0.403201,-0.408824,0.00151565,-0.00100757,-0.00136253,0.00163223,0.342288,0.0245308
PFOA,624,1,2787878787.0,0.331071,-0.46389,0.000385694,-0.00159403,-0.000304946,0.0019854,0.14294,-0.268844
PFOA,624,1,2848484848.0,0.246781,-0.526681,-0.000732073,-0.00155138,0.000443522,0.00176302,-0.129314,-0.262506
PFOA,624,1,2909090909.0,0.139246,-0.58191,-0.00157153,-0.000982601,0.0010505,0.00152982,-0.283308,-0.0947724
PFOA,624,1,2969696969.0,0.00190717,-0.612023,-0.00211599,-2.63772e-05,0.00165282,0.00132644,-0.292831,0.100991
PFOA,624,1,3030303030.0,-0.161731,-0.602111,-0.00236014,0.00149656,0.00253527,0.000778181,-0.190832,0.270522
PFOA,624,1,3090909090.0,-0.324667,-0.542118,-0.00125474,0.00403487,0.00385268,-0.000502141,0.0406168,0.353038
PFOA,624,1,3151515151.0,-0.465914,-0.406797,0.00526879,0.00524546,0.00412229,-0.00549889,0.308335,0.124978
PFOA,624,1,3212121212.0,-0.555644,-0.223892,0.00354274,-0.00676393,-0.00541462,-0.00436269,0.0667106,0.069585
PFOA,624,1,3272727272.0,-0.570337,-0.0452915,-0.00227085,-0.00224629,-0.00287154,0.000721893,0.319629,-0.0850491
PFOA,624,1,3333333333.0,-0.537831,0.108066,-0.000862133,-0.000786093,-0.000991645,-0.000108167,-0.100754,-0.352584
PFOA,624,1,3393939393.0,-0.469673,0.244602,-0.00187157,-0.00120358,-0.0020912,-0.000328709,-0.241057,0.140894
PFOA,624,1,3454545454.0,-0.374986,0.350255,-0.00267614,0.000588525,-0.00230327,0.000746154,0.125976,0.241214
PFOA,624,1,3515151515.0,-0.275197,0.41763,-0.00171773,0.00218265,-0.00195142,0.00162266,0.31014,0.00863027
PFOA,624,1,3575757575.0,-0.155824,0.460292,-1.67858e-06,0.00309335,-0.00125522,0.00225223,0.249571,-0.248499
PFOA,624,1,3636363636.0,-0.0412138,0.468676,0.00199463,0.0027604,-0.000597787,0.0028826,0.0224889,-0.39169
PFOA,624,1,3696969696.0,0.0697262,0.444641,0.00379795,0.00114319,0.000427856,0.00349533,-0.255323,-0.329178
PFOA,624,1,3757575757.0,0.154904,0.39461,0.0043422,-0.00184732,0.0021384,0.00369249,-0.43579,-0.0557799
PFOA,624,1,3818181818.0,0.221965,0.33067,0.00189287,-0.0050595,0.0044491,0.00294361,-0.313115,0.30131
PFOA,624,1,3878787878.0,0.263181,0.265425,-0.00263498,-0.00557728,0.0063316,0.000214606,0.100763,0.366737
PFOA,624,1,3939393939.0,0.290547,0.199336,-0.00641388,-0.00209984,0.0061285,-0.00400884,0.274188,0.0239268
PFOA,624,1,4000000000.0,0.308169,0.140973,-0.00665254,0.00313362,0.00305504,-0.007228,0.0360315,-0.199086
PFOA,624,1,4060606060.0,0.317564,0.0865102,-0.00271316,0.00755833,-0.0019024,-0.00873979,-0.218469,-0.0396259
PFOA,624,1,4121212121.0,0.320875,0.0507754,0.00415076,0.00747143,-0.00757081,-0.00605549,-0.0851455,0.254807
PFOA,624,1,4181818181.0,0.322658,0.0483121,0.00692055,0.00187905,-0.00820875,-0.000113072,0.188488,0.103822
PFOA,624,1,4242424242.0,0.331262,0.0137932,0.00414859,-0.00227774,-0.00405856,0.00296513,0.00173376,-0.0974397
PFOA,624,1,4303030303.0,0.338424,-0.0390853,0.00168077,-0.00158562,-0.00199484,0.0014463,-0.0726013,0.189906
PFOA,624,1,4363636363.0,0.339361,-0.0949767,0.00262714,-0.00243107,-0.00359087,0.00151304,0.295836,0.0761471
PFOA,624,1,4424242424.0,0.331038,-0.157456,0.000854164,-0.00466294,-0.0034346,0.0035949,0.174829,-0.232578
PFOA,624,1,4484848484.0,0.307907,-0.215195,-0.00254199,-0.00510959,-0.002432,0.00503815,-0.0689012,-0.260742
PFOA,624,1,4545454545.0,0.270637,-0.273099,-0.00593791,-0.003157,-0.000840507,0.00658655,-0.228544,-0.124005
PFOA,624,1,4606060606.0,0.200598,-0.33673,-0.00836839,0.00122256,0.00180047,0.00814338,-0.245047,0.0810096
PFOA,624,1,4666666666.0,0.107798,-0.386356,-0.00745845,0.00843404,0.00691347,0.00887329,-0.0943577,0.244841
PFOA,624,1,4727272727.0,-0.0181756,-0.401555,0.00205965,0.0158457,0.0151492,0.00457295,0.168905,0.18944
PFOA,624,1,4787878787.0,-0.148645,-0.37005,0.0203566,0.00755752,0.0177044,-0.0107172,0.174765,-0.138738
PFOA,624,1,4848484848.0,-0.26469,-0.296465,0.0144679,-0.0164952,0.00186779,-0.0206544,-0.164462,-0.106977
PFOA,624,1,4909090909.0,-0.345758,-0.191023,-0.00557456,-0.017002,-0.0100918,-0.0136226,-0.120807,0.172518
PFOA,624,1,4969696969.0,-0.37631,-0.0928111,-0.0141736,-0.00546618,-0.0124713,-0.00647708,0.107942,0.201167
PFOA,624,1,5030303030.0,-0.378821,0.0560002,-0.0125907,0.00658228,-0.0128743,0.000123832,0.234999,0.0408473
PFOA,624,1,5090909090.0,-0.31409,0.206963,-0.00275666,0.0141466,-0.0110156,0.00662478,0.188129,-0.156695
PFOA,624,1,5151515151.0,-0.202453,0.295219,0.0105494,0.0110792,-0.0063529,0.0124833,-0.00940453,-0.232915
