Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,657,1,0.0,-0.337782,-0.359907,0.0017747,0.177397,-0.325579,-0.362326,0.00283957,0.17868
PFOA,657,1,60606060.0,-0.661207,0.0862438,3.93393e-05,2.26403e-05,-1.97233e-05,-2.35299e-06,0.487356,-0.436071
PFOA,657,1,121212121.0,-0.643301,0.212154,3.35103e-05,-1.10262e-05,4.02385e-05,9.78473e-07,-0.0987773,-0.702534
PFOA,657,1,181818181.0,-0.606818,0.342629,4.31029e-05,5.75671e-05,0.000115216,0.000118273,-0.70322,-0.274508
PFOA,657,1,242424242.0,-0.54573,0.471405,-3.98259e-05,4.84005e-06,9.48969e-05,-1.56836e-05,-0.576783,0.485144
PFOA,657,1,303030303.0,-0.45143,0.601097,-4.87188e-06,-3.80835e-05,-5.74854e-06,2.77987e-05,0.118955,0.697054
PFOA,657,1,363636363.0,-0.311414,0.71325,1.07739e-05,-2.14238e-05,-9.53663e-05,-5.58834e-05,0.601408,0.272634
PFOA,657,1,424242424.0,-0.129563,0.776725,3.61514e-05,-8.2065e-05,-0.000171289,-6.6364e-05,0.477303,-0.369246
PFOA,657,1,484848484.0,0.0525922,0.799593,-2.52523e-05,0.000191548,7.69762e-05,0.00011782,0.327339,-0.531105
PFOA,657,1,545454545.0,0.23697,0.765689,6.05822e-05,8.31088e-05,0.000115347,2.199e-05,-0.268442,-0.597118
PFOA,657,1,606060606.0,0.403433,0.694779,4.51927e-05,1.30934e-06,3.51918e-05,-6.77156e-06,-0.649406,-0.173946
PFOA,657,1,666666666.0,0.541255,0.588128,5.30109e-05,-2.96538e-05,5.73865e-05,-4.49576e-05,-0.554747,0.402037
PFOA,657,1,727272727.0,0.671343,0.446239,3.28143e-05,-2.00941e-05,4.46604e-05,-3.31105e-05,-0.0128804,0.701154
PFOA,657,1,787878787.0,0.766854,0.289049,3.05909e-05,-1.96137e-05,7.51386e-06,-5.66641e-05,0.581412,0.43196
PFOA,657,1,848484848.0,0.820924,0.117093,-9.24345e-05,-6.93582e-05,-7.52399e-05,-0.00016766,0.695269,-0.307201
PFOA,657,1,909090909.0,0.834835,-0.0826437,-5.71865e-05,0.000108358,-7.70792e-05,-0.000136536,-0.0532706,-0.752791
PFOA,657,1,969696969.0,0.785886,-0.293824,-8.07779e-06,0.000164008,-0.000186633,0.000130018,-0.674631,-0.163126
PFOA,657,1,1030303030.0,0.672733,-0.494341,0.000105418,0.000105545,-0.000150548,0.000174107,-0.383625,0.493294
PFOA,657,1,1090909090.0,0.499164,-0.643973,0.000148567,-4.27527e-05,0.000109224,0.000149159,0.180585,0.562901
PFOA,657,1,1151515151.0,0.303316,-0.723236,2.74401e-05,-0.000103077,0.000115025,0.000152719,0.539382,0.230579
PFOA,657,1,1212121212.0,0.113588,-0.744905,-7.40987e-05,-2.7145e-05,5.33994e-05,-3.8384e-05,0.550729,-0.243441
PFOA,657,1,1272727272.0,-0.0726821,-0.73455,-4.81807e-05,-3.03956e-05,8.31906e-05,-3.58581e-05,0.207143,-0.578678
PFOA,657,1,1333333333.0,-0.2321,-0.686053,0.000207278,8.57581e-05,-0.000286233,5.1856e-06,-0.285134,-0.547748
PFOA,657,1,1393939393.0,-0.377976,-0.613884,-0.000322956,-0.000250338,0.000513868,0.000121853,-0.566756,-0.23046
PFOA,657,1,1454545454.0,-0.510149,-0.513963,-0.000229602,0.000118992,0.000299522,-9.80803e-05,-0.544376,0.269383
PFOA,657,1,1515151515.0,-0.626684,-0.383849,-0.000165962,0.000230021,0.000220114,-0.000151074,-0.130591,0.594162
PFOA,657,1,1575757575.0,-0.720607,-0.213861,6.75506e-05,0.000467616,0.000132629,-0.000398048,0.432272,0.438745
PFOA,657,1,1636363636.0,-0.765676,-0.0267483,0.000542212,0.000299438,-0.000138677,-0.000559072,0.58386,-0.209341
PFOA,657,1,1696969696.0,-0.749628,0.183845,0.0005406,-0.000272357,-0.000473574,-0.000393709,-0.0203209,-0.590729
PFOA,657,1,1757575757.0,-0.665618,0.388527,0.000152903,-0.000649677,-0.000558379,-7.11691e-05,-0.515741,-0.186067
PFOA,657,1,1818181818.0,-0.535109,0.540708,-0.000398669,-0.000663822,-0.000549442,0.000161228,-0.402585,0.324982
PFOA,657,1,1878787878.0,-0.392193,0.634082,-0.000626387,-0.000118754,-0.0004989,0.000429187,-0.000360932,0.513629
PFOA,657,1,1939393939.0,-0.239505,0.7025,-0.000563206,0.000212418,-0.00026443,0.000578732,0.406018,0.333748
PFOA,657,1,2000000000.0,-0.0899966,0.731785,-0.000324134,0.000611114,-3.76864e-05,0.000833158,0.534246,-0.0959413
PFOA,657,1,2060606060.0,0.0678264,0.732843,0.000189931,0.000828769,0.000320305,0.000893261,0.252193,-0.499007
PFOA,657,1,2121212121.0,0.233061,0.706777,0.000840634,0.000619549,0.00087304,0.000705771,-0.26321,-0.488221
PFOA,657,1,2181818181.0,0.394896,0.637444,0.00114886,-0.000192699,0.00141931,0.000212594,-0.535624,-0.0644167
PFOA,657,1,2242424242.0,0.54397,0.516454,0.0010324,-0.00187524,0.00192357,-0.000930444,-0.314218,0.397192
PFOA,657,1,2303030303.0,0.648256,0.349946,-0.00117409,0.000329429,-0.000710891,-0.000668096,0.0293574,0.49466
PFOA,657,1,2363636363.0,0.698846,0.171949,-0.000237305,-0.000193079,1.97193e-05,-0.000404256,0.487767,0.267054
PFOA,657,1,2424242424.0,0.691333,0.0084203,-0.00069901,-0.000146807,6.01166e-05,-0.000741497,0.515128,-0.261947
PFOA,657,1,2484848484.0,0.649391,-0.120219,-0.000893003,0.000456985,-0.000335177,-0.0010382,0.063553,-0.571756
PFOA,657,1,2545454545.0,0.593812,-0.209687,-0.000528832,0.00120877,-0.000986637,-0.000979636,-0.434679,-0.330354
PFOA,657,1,2606060606.0,0.538115,-0.278243,0.000584997,0.00144437,-0.00163059,-0.000437095,-0.436465,0.22701
PFOA,657,1,2666666666.0,0.472705,-0.344412,0.00174577,0.00050546,-0.00200229,0.000609883,0.0696595,0.421507
