Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,456,1,0.0,-0.332069,-0.362055,-0.00392089,0.170753,-0.326148,-0.364199,-0.00286788,0.169428
PFOA,456,1,60606060.0,-0.660519,0.0860066,-2.21371e-05,1.88899e-05,-3.55207e-05,-1.04928e-06,0.487229,-0.434456
PFOA,456,1,121212121.0,-0.643599,0.212396,3.10411e-05,8.16387e-05,-9.06873e-05,1.07425e-05,-0.100374,-0.701254
PFOA,456,1,181818181.0,-0.609554,0.343353,-1.24595e-05,-0.000127136,-1.83923e-05,-6.15923e-05,-0.699473,-0.275006
PFOA,456,1,242424242.0,-0.545235,0.47507,-3.16967e-06,-1.21516e-05,4.09485e-05,-3.93232e-05,-0.568062,0.476689
PFOA,456,1,303030303.0,-0.448309,0.598137,2.37638e-05,-3.45959e-05,-5.00557e-06,-3.27105e-05,0.111157,0.687828
PFOA,456,1,363636363.0,-0.310835,0.711167,9.16918e-05,-4.95968e-05,-7.90462e-06,-7.73887e-05,0.593399,0.270701
PFOA,456,1,424242424.0,-0.131433,0.781678,-3.6448e-05,-0.000222941,-0.000118125,-0.000111579,0.470322,-0.364772
PFOA,456,1,484848484.0,0.0515186,0.793044,-3.46771e-05,0.000220171,8.74781e-05,0.00012717,0.327164,-0.526195
PFOA,456,1,545454545.0,0.235861,0.76802,3.19703e-05,0.000103156,0.000142128,2.82464e-05,-0.268318,-0.590863
PFOA,456,1,606060606.0,0.397189,0.695657,5.09916e-05,2.06943e-05,0.0001006,2.24001e-05,-0.645036,-0.172609
PFOA,456,1,666666666.0,0.545938,0.590256,0.0001023,2.67637e-05,4.08479e-05,-1.20993e-05,-0.550565,0.396213
PFOA,456,1,727272727.0,0.672614,0.449557,6.8859e-05,-6.90733e-05,8.00379e-05,-0.000126296,-0.00706367,0.693039
PFOA,456,1,787878787.0,0.76621,0.288395,-4.58084e-05,-0.000117588,3.51834e-05,-0.00017135,0.581195,0.429657
PFOA,456,1,848484848.0,0.821151,0.115851,-0.0001596,-8.62939e-05,-9.115e-05,-0.000125318,0.696178,-0.305162
