Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,658,1,0.0,-0.337939,-0.369804,-0.00449401,0.1707,-0.330304,-0.371802,-0.00371065,0.168646
PFOA,658,1,60606060.0,-0.660283,0.0851981,1.44488e-05,-3.83061e-05,-5.56034e-05,3.55525e-06,0.49119,-0.435747
PFOA,658,1,121212121.0,-0.64363,0.213544,-4.80719e-05,-2.11431e-05,-4.19889e-05,3.92144e-05,-0.104122,-0.701395
PFOA,658,1,181818181.0,-0.608672,0.341527,-5.15039e-05,1.82229e-05,-4.38905e-05,-7.19732e-05,-0.702246,-0.276748
PFOA,658,1,242424242.0,-0.544694,0.471083,-1.30521e-05,3.75118e-05,2.40288e-05,-5.92994e-05,-0.576134,0.483947
PFOA,658,1,303030303.0,-0.446858,0.598109,-2.79651e-05,-9.90937e-06,-9.46181e-07,1.98644e-06,0.113198,0.693089
PFOA,658,1,363636363.0,-0.312342,0.710645,1.15893e-05,5.59236e-07,-5.63767e-05,-1.91513e-05,0.600109,0.272538
PFOA,658,1,424242424.0,-0.13699,0.780373,2.51893e-05,-0.000176909,-7.37599e-05,-5.54472e-05,0.47327,-0.371152
PFOA,658,1,484848484.0,0.0486268,0.792641,-7.29916e-05,0.000188377,7.068e-05,0.000128326,0.328679,-0.533566
PFOA,658,1,545454545.0,0.235105,0.763262,4.1863e-05,2.36997e-05,1.23454e-05,3.06311e-05,-0.267762,-0.597198
PFOA,658,1,606060606.0,0.403303,0.693006,-1.91496e-05,-2.30084e-05,0.000107596,-3.93394e-05,-0.64799,-0.172269
PFOA,658,1,666666666.0,0.546301,0.590703,6.87625e-05,-1.00189e-05,8.4411e-05,2.12523e-05,-0.552883,0.397915
PFOA,658,1,727272727.0,0.669874,0.450309,6.7428e-06,-4.43823e-06,5.46514e-05,-8.79316e-05,-0.0065544,0.698387
PFOA,658,1,787878787.0,0.76352,0.289154,2.19756e-05,-3.85059e-05,1.1816e-06,-9.66747e-05,0.58313,0.434231
PFOA,658,1,848484848.0,0.820776,0.117404,-0.000134833,-8.33883e-05,-2.99054e-05,-4.19393e-05,0.695913,-0.307418
PFOA,658,1,909090909.0,0.834163,-0.0816074,-4.23994e-05,0.000155548,-9.92925e-05,-4.36797e-05,-0.0508933,-0.752784
PFOA,658,1,969696969.0,0.788693,-0.293176,-6.70686e-05,0.000154097,-0.000109359,-1.53668e-05,-0.674147,-0.162944
PFOA,658,1,1030303030.0,0.66924,-0.491196,0.000111346,8.73628e-05,-7.42818e-05,0.000226917,-0.385475,0.490067
PFOA,658,1,1090909090.0,0.496191,-0.637151,7.52822e-05,1.15394e-06,7.19394e-05,0.000195122,0.175821,0.559646
PFOA,658,1,1151515151.0,0.310702,-0.720635,6.2932e-05,-0.000101862,7.18808e-05,6.37698e-05,0.538486,0.230104
PFOA,658,1,1212121212.0,0.111641,-0.751615,-3.91671e-05,1.01066e-05,8.66493e-05,-4.42621e-05,0.546507,-0.243914
PFOA,658,1,1272727272.0,-0.0630612,-0.733894,-8.14587e-06,2.80935e-05,0.000121364,-0.000107761,0.202433,-0.58307
PFOA,658,1,1333333333.0,-0.233741,-0.68605,0.000184158,9.46212e-05,-0.000268981,5.54049e-05,-0.286442,-0.542356
PFOA,658,1,1393939393.0,-0.380471,-0.608363,-0.00038289,-0.000215381,0.000469703,7.81321e-05,-0.563617,-0.226761
PFOA,658,1,1454545454.0,-0.505705,-0.51204,-0.000278353,8.66994e-05,0.00020862,-6.77275e-05,-0.541478,0.272571
PFOA,658,1,1515151515.0,-0.629836,-0.385237,-0.000146208,0.000261148,0.000289401,-0.000299872,-0.129085,0.588416
PFOA,658,1,1575757575.0,-0.721497,-0.215221,0.000133483,0.000416787,0.000169448,-0.000477376,0.434209,0.43269
PFOA,658,1,1636363636.0,-0.764544,-0.0268772,0.000466946,0.000274784,-0.000174395,-0.000595474,0.581437,-0.209335
PFOA,658,1,1696969696.0,-0.748493,0.181645,0.000606881,-0.000324528,-0.000403668,-0.000348303,-0.0158991,-0.593924
PFOA,658,1,1757575757.0,-0.661,0.391178,0.000120484,-0.00076397,-0.000628208,-6.01756e-05,-0.515251,-0.181743
PFOA,658,1,1818181818.0,-0.534736,0.538178,-0.000391736,-0.000498071,-0.000517842,0.000209982,-0.398742,0.326097
PFOA,658,1,1878787878.0,-0.390633,0.640227,-0.000594677,-0.000144918,-0.000483162,0.000461358,0.007226,0.506792
