Chemical,Concentration,Experiment Number,Frequency (Hz),S11 Real,S11 Imaginary,S21 Real,S21 Imaginary,S12 Real,S12 Imaginary,S22 Real,S22 Imaginary
PFOA,458,1,0.0,-0.338271,-0.362626,0.000415401,0.173945,-0.332372,-0.365716,0.00269537,0.175272
PFOA,458,1,60606060.0,-0.661233,0.0851431,-2.9567e-05,-1.69729e-05,-1.22438e-05,6.20384e-05,0.488311,-0.437962
PFOA,458,1,121212121.0,-0.641784,0.211868,-1.43683e-05,-5.47411e-06,-1.8618e-05,7.80474e-05,-0.096342,-0.69581
PFOA,458,1,181818181.0,-0.60784,0.340614,2.9269e-05,1.454e-05,-1.96971e-05,7.16709e-05,-0.694546,-0.27963
PFOA,458,1,242424242.0,-0.547725,0.470541,8.04717e-05,1.06948e-05,-4.41558e-05,-1.65855e-05,-0.578475,0.472461
PFOA,458,1,303030303.0,-0.451383,0.601222,5.95631e-05,-5.64193e-06,-2.76987e-05,4.49461e-05,0.10153,0.694016
PFOA,458,1,363636363.0,-0.30746,0.705938,-5.67659e-05,-1.56e-05,1.20235e-05,-5.29489e-05,0.585649,0.286983
PFOA,458,1,424242424.0,-0.137607,0.781222,9.07155e-05,-0.000130724,-0.000195162,-2.35439e-05,0.480111,-0.354833
PFOA,458,1,484848484.0,0.0509445,0.792413,-3.84248e-05,0.000129884,0.000123423,0.000141659,0.345343,-0.517718
PFOA,458,1,545454545.0,0.235747,0.768502,5.37875e-05,7.39594e-05,8.33661e-05,-3.95595e-05,-0.251725,-0.600936
PFOA,458,1,606060606.0,0.402413,0.693247,7.28659e-05,-2.41988e-05,0.000122951,-5.11452e-06,-0.64164,-0.188802
PFOA,458,1,666666666.0,0.543292,0.592199,0.000166853,-2.38252e-05,7.81272e-06,4.46998e-05,-0.557489,0.387869
PFOA,458,1,727272727.0,0.670135,0.446283,-4.68177e-05,-2.38536e-05,3.68984e-05,-5.37183e-05,-0.0175368,0.699787
PFOA,458,1,787878787.0,0.764049,0.290103,-3.05332e-05,-0.000111779,-2.70107e-05,-5.50623e-05,0.582437,0.434196
PFOA,458,1,848484848.0,0.820039,0.117581,-8.34904e-05,-0.000112608,-9.79057e-05,-5.76029e-05,0.693594,-0.306138
PFOA,458,1,909090909.0,0.834044,-0.0815831,-0.000153193,8.63328e-05,-0.000125884,-4.25496e-05,-0.0425184,-0.758308
PFOA,458,1,969696969.0,0.786182,-0.292311,-5.23201e-05,8.48932e-05,-0.00011556,2.7438e-05,-0.676512,-0.184043
PFOA,458,1,1030303030.0,0.671992,-0.494371,8.83167e-05,7.24189e-05,-5.48422e-05,0.000108696,-0.413365,0.483365
PFOA,458,1,1090909090.0,0.494201,-0.640909,0.000115891,3.7745e-05,5.01369e-05,0.000126296,0.146091,0.581572
PFOA,458,1,1151515151.0,0.310978,-0.722432,6.29912e-05,-2.90412e-05,2.86119e-05,7.54636e-05,0.533804,0.274888
PFOA,458,1,1212121212.0,0.111653,-0.751949,3.95871e-06,-2.95455e-05,4.74655e-05,6.88127e-05,0.576937,-0.205577
PFOA,458,1,1272727272.0,-0.068967,-0.730627,3.26069e-05,-2.19432e-05,7.64443e-05,7.90631e-05,0.259386,-0.573371
PFOA,458,1,1333333333.0,-0.229061,-0.681003,0.000156451,4.2258e-05,-0.000343989,7.85357e-05,-0.244874,-0.583868
PFOA,458,1,1393939393.0,-0.380692,-0.608115,-0.000412573,-0.000264654,0.000478202,0.000144484,-0.560528,-0.279555
PFOA,458,1,1454545454.0,-0.513553,-0.51162,-0.000321815,0.000141962,0.000314852,-0.000122081,-0.575225,0.240839
PFOA,458,1,1515151515.0,-0.630284,-0.38151,-0.000171809,0.000315861,0.000314765,-0.000282141,-0.165031,0.597829
PFOA,458,1,1575757575.0,-0.720852,-0.213468,0.000237552,0.00047144,0.000158447,-0.000476874,0.427016,0.451495
PFOA,458,1,1636363636.0,-0.764815,-0.0259214,0.00051296,0.000205697,-0.000165399,-0.000614482,0.583084,-0.206107
PFOA,458,1,1696969696.0,-0.747473,0.184125,0.000534138,-0.000292399,-0.000500515,-0.000376791,-0.0198926,-0.591321
