Frequency (Hz),S12 Real,S12 Imaginary
0,0.141606,-0.669636
600060,-0.646121,-0.110514
1200120,-0.65503,-0.0690582
1800180,-0.660561,-0.0564177
2400240,-0.668627,-0.0473717
3000300,-0.677862,-0.0358179
3600360,-0.685999,-0.0234535
4200420,-0.692862,-0.00938683
4800480,-0.69786,0.00571401
5400540,-0.701316,0.0210842
6000600,-0.703212,0.0365024
6600660,-0.703932,0.0517206
7200720,-0.703469,0.0664818
7800780,-0.702053,0.081216
8400840,-0.70017,0.0952656
9000900,-0.697622,0.10857
9600960,-0.694483,0.121928
10201020,-0.691061,0.134909
10801080,-0.687295,0.147235
11401140,-0.683473,0.158977
12001200,-0.679488,0.170568
12601260,-0.675503,0.181739
13201320,-0.671083,0.192935
13801380,-0.666694,0.203865
14401440,-0.662233,0.214557
15001500,-0.657625,0.224909
15601560,-0.652534,0.235441
16201620,-0.647562,0.245298
16801680,-0.642333,0.255384
17401740,-0.637288,0.264801
18001800,-0.631955,0.274572
18601860,-0.626837,0.283605
19201920,-0.62163,0.292358
19801980,-0.616244,0.301486
20402040,-0.610934,0.310292
21002100,-0.605531,0.319104
21602160,-0.599998,0.327609
22202220,-0.594338,0.336254
22802280,-0.588708,0.344465
23402340,-0.582851,0.352823
24002400,-0.576945,0.361124
24602460,-0.571108,0.36913
25202520,-0.569274,0.374454
25802580,-0.562834,0.382301
26402640,-0.556657,0.389728
27002700,-0.550111,0.3974
27602760,-0.543411,0.405103
28202820,-0.536517,0.412813
28802880,-0.529498,0.42055
29402940,-0.522463,0.428283
30003000,-0.515235,0.435752
30603060,-0.507954,0.442109
31203120,-0.500476,0.449493
31803180,-0.493642,0.456971
32403240,-0.486583,0.463667
33003300,-0.479993,0.469702
33603360,-0.473163,0.475861
34203420,-0.46613,0.481966
34803480,-0.458972,0.488154
35403540,-0.452109,0.493983
36003600,-0.444933,0.500272
36603660,-0.437891,0.506102
37203720,-0.430415,0.512268
37803780,-0.423115,0.518145
38403840,-0.415567,0.524037
39003900,-0.407988,0.529776
39603960,-0.400481,0.535315
40204020,-0.392599,0.540867
40804080,-0.3847,0.546259
41404140,-0.376706,0.551295
42004200,-0.368655,0.556295
42604260,-0.360355,0.561453
43204320,-0.352074,0.566299
43804380,-0.343853,0.571013
44404440,-0.335316,0.575654
45004500,-0.327037,0.579903
45604560,-0.318524,0.584201
46204620,-0.309599,0.588469
46804680,-0.301364,0.592261
47404740,-0.292889,0.596153
48004800,-0.28403,0.599984
48604860,-0.275269,0.603607
49204920,-0.266506,0.60732
49804980,-0.257587,0.61083
50405040,-0.248941,0.614098
51005100,-0.239998,0.617336
51605160,-0.230914,0.620563
52205220,-0.221944,0.62352
52805280,-0.213095,0.626355
53405340,-0.204318,0.629181
54005400,-0.195194,0.631848
54605460,-0.186652,0.634348
55205520,-0.177848,0.636851
