Frequency (Hz),S12 Real,S12 Imaginary
0,0.18286,-0.704191
600060,-0.642643,-0.131863
1200120,-0.669957,-0.0982442
1800180,-0.689068,-0.0846462
2400240,-0.705462,-0.0717968
3000300,-0.719376,-0.0565139
3600360,-0.730845,-0.0402988
4200420,-0.739993,-0.0227109
4800480,-0.746581,-0.00480981
5400540,-0.751063,0.0132613
6000600,-0.753597,0.0312564
6600660,-0.754674,0.0486113
7200720,-0.754466,0.065815
7800780,-0.753114,0.0821565
8400840,-0.750943,0.0984408
9000900,-0.748186,0.113598
9600960,-0.744828,0.128337
10201020,-0.740957,0.142812
10801080,-0.736699,0.156225
11401140,-0.732524,0.169412
12001200,-0.727995,0.182351
12601260,-0.723341,0.194762
13201320,-0.718571,0.20733
13801380,-0.713443,0.21958
14401440,-0.708326,0.231155
15001500,-0.702885,0.242759
15601560,-0.697326,0.254007
16201620,-0.691503,0.265166
16801680,-0.685688,0.275801
17401740,-0.679892,0.286163
18001800,-0.673953,0.296502
18601860,-0.668154,0.306402
19201920,-0.662034,0.316423
19801980,-0.655957,0.326138
20402040,-0.649908,0.335552
21002100,-0.643584,0.345204
21602160,-0.637406,0.354413
22202220,-0.631077,0.363421
22802280,-0.624578,0.372537
23402340,-0.617978,0.381335
24002400,-0.611439,0.390009
24602460,-0.60467,0.398588
25202520,-0.602216,0.404349
25802580,-0.595073,0.412608
26402640,-0.587873,0.420744
27002700,-0.580507,0.428834
27602760,-0.573291,0.436515
28202820,-0.565656,0.444704
28802880,-0.557801,0.452892
29402940,-0.55013,0.460902
30003000,-0.542102,0.468628
30603060,-0.53386,0.475447
31203120,-0.525772,0.483018
31803180,-0.518354,0.490453
32403240,-0.510711,0.497214
33003300,-0.503517,0.503447
33603360,-0.495713,0.510109
34203420,-0.488221,0.516241
34803480,-0.480374,0.522573
35403540,-0.4726,0.528726
36003600,-0.464817,0.535034
36603660,-0.456992,0.541128
37203720,-0.449048,0.547127
37803780,-0.440987,0.553291
38403840,-0.432881,0.559125
39003900,-0.424658,0.564964
39603960,-0.416522,0.57054
40204020,-0.408165,0.576043
40804080,-0.399572,0.581486
41404140,-0.391028,0.586486
42004200,-0.38203,0.591706
42604260,-0.373196,0.596727
43204320,-0.364284,0.601557
43804380,-0.355428,0.606192
44404440,-0.346408,0.610775
45004500,-0.33727,0.615122
45604560,-0.328225,0.619354
46204620,-0.319363,0.623317
46804680,-0.310189,0.627345
47404740,-0.301312,0.631125
48004800,-0.291811,0.634908
48604860,-0.282635,0.638573
49204920,-0.273537,0.641918
49804980,-0.264203,0.645289
50405040,-0.254722,0.648692
51005100,-0.245254,0.65184
51605160,-0.236208,0.654814
52205220,-0.226789,0.657755
52805280,-0.21741,0.660517
53405340,-0.207887,0.66323
54005400,-0.198601,0.665839
54605460,-0.189415,0.668206
55205520,-0.180145,0.67057
55805580,-0.170662,0.672896
56405640,-0.161432,0.674987
57005700,-0.152318,0.676908
57605760,-0.142916,0.67888
58205820,-0.133559,0.680569
58805880,-0.12407,0.682184
59405940,-0.114586,0.6835
60006000,-0.105159,0.684657
60606060,-0.0948984,0.685488
61206120,-0.0841335,0.685979
61806180,-0.0731805,0.686241
62406240,-0.0631533,0.68699
63006300,-0.0533827,0.688305
63606360,-0.0438273,0.689351
64206420,-0.0341805,0.690034
64806480,-0.0246219,0.690415
65406540,-0.01524,0.690549
66006600,-0.0050302,0.690576
66606660,0.00485824,0.690452
67206720,0.0145376,0.690116
67806780,0.0238823,0.68972
68406840,0.0337147,0.689286
69006900,0.0433979,0.688692
69606960,0.0530546,0.68793
70207020,0.0625387,0.687062
70807080,0.0722178,0.68614
71407140,0.0818792,0.685039
72007200,0.0915846,0.683807
72607260,0.101069,0.682474
73207320,0.110665,0.680934
73807380,0.120345,0.67943
74407440,0.130049,0.677765
75007500,0.139545,0.675869
75607560,0.14916,0.673882
76207620,0.15874,0.671841
76807680,0.168221,0.669611
77407740,0.17746,0.667326
78007800,0.187002,0.664838
78607860,0.196436,0.662266
79207920,0.205637,0.659713
79807980,0.214845,0.656891
80408040,0.224021,0.653993
81008100,0.233514,0.650823
81608160,0.242636,0.647752
82208220,0.251943,0.644358
82808280,0.26116,0.640877
83408340,0.270154,0.637373
84008400,0.279302,0.633678
84608460,0.288373,0.629876
85208520,0.297299,0.625953
85808580,0.306282,0.621875
86408640,0.315197,0.617642
87008700,0.324076,0.613391
87608760,0.332925,0.608934
88208820,0.341857,0.60426
88808880,0.350462,0.599619
89408940,0.359057,0.594841
90009000,0.36773,0.589808
90609060,0.376253,0.584809
91209120,0.384769,0.579563
91809180,0.393205,0.57422
92409240,0.401542,0.568841
93009300,0.409835,0.563274
93609360,0.417968,0.557537
94209420,0.42622,0.551734
94809480,0.434223,0.545878
95409540,0.4423,0.539659
96009600,0.450182,0.533492
96609660,0.458212,0.527119
97209720,0.466064,0.52056
97809780,0.473633,0.514215
98409840,0.481399,0.507374
99009900,0.488814,0.500666
99609960,0.496221,0.493818
100210021,0.503681,0.486673
100810081,0.510802,0.479657
101410141,0.518079,0.472237
102010201,0.525052,0.465
102610261,0.532011,0.457537
103210321,0.538992,0.449695
103810381,0.545723,0.441926
104410441,0.552373,0.434128
105010501,0.558803,0.426286
105610561,0.565487,0.417971
106210621,0.571794,0.409881
106810681,0.577994,0.401597
107410741,0.583994,0.393361
108010801,0.589987,0.384728
108610861,0.595804,0.376407
109210921,0.601528,0.367607
109810981,0.607017,0.35916
110411041,0.612491,0.350303
111011101,0.617806,0.341435
111611161,0.623108,0.332282
112211221,0.628233,0.323051
112811281,0.633234,0.313731
113411341,0.638041,0.304654
114011401,0.642617,0.295204
114611461,0.647295,0.285733
115211521,0.65167,0.276173
115811581,0.655878,0.266659
116411641,0.660018,0.25696
117011701,0.664006,0.247287
117611761,0.667753,0.23742
118211821,0.671528,0.227364
118811881,0.674926,0.217587
119411941,0.678361,0.207639
120012001,0.681503,0.197531
120612061,0.684668,0.187336
121212121,0.687643,0.177005
121812181,0.690367,0.166729
122412241,0.692866,0.156378
123012301,0.69526,0.146145
123612361,0.697482,0.135709
124212421,0.699547,0.12531
124812481,0.701522,0.114756
125412541,0.703421,0.104356
126012601,0.705042,0.0937275
126612661,0.70657,0.0832561
127212721,0.707805,0.0727595
127812781,0.708983,0.0618428
128412841,0.709907,0.0513611
129012901,0.710691,0.0409591
129612961,0.711362,0.0302684
130213021,0.711797,0.0192829
130813081,0.712125,0.00883093
131413141,0.712157,-0.00194908
132013201,0.712264,-0.0125283
132613261,0.712047,-0.0232964
133213321,0.711667,-0.0337529
133813381,0.71119,-0.0445282
134413441,0.710491,-0.0550546
135013501,0.709604,-0.0657698
