Frequency (Hz),S12 Real,S12 Imaginary
0,0.222932,-0.710092
600060,-0.652019,-0.139741
1200120,-0.67743,-0.104492
1800180,-0.695125,-0.092416
2400240,-0.711628,-0.0803232
3000300,-0.72696,-0.0670173
3600360,-0.739695,-0.0512978
4200420,-0.74993,-0.0333597
4800480,-0.757546,-0.0150604
5400540,-0.762626,0.0033314
6000600,-0.765805,0.0216666
6600660,-0.76733,0.0397842
7200720,-0.767205,0.0573874
7800780,-0.766322,0.0742815
8400840,-0.7645,0.0905061
9000900,-0.761979,0.106457
9600960,-0.758822,0.121625
10201020,-0.755171,0.136102
10801080,-0.750937,0.150328
11401140,-0.746789,0.163837
12001200,-0.742575,0.176837
12601260,-0.738097,0.189627
13201320,-0.733468,0.202286
13801380,-0.728428,0.214889
14401440,-0.723471,0.22694
15001500,-0.717979,0.239077
15601560,-0.712536,0.250794
16201620,-0.706899,0.262052
16801680,-0.701208,0.272855
17401740,-0.695572,0.283537
18001800,-0.689649,0.294206
18601860,-0.683759,0.304677
19201920,-0.677984,0.314535
19801980,-0.671914,0.324549
20402040,-0.665757,0.334386
21002100,-0.65975,0.343987
21602160,-0.653506,0.35331
22202220,-0.647096,0.362957
22802280,-0.640649,0.372233
23402340,-0.634142,0.381397
24002400,-0.627586,0.390042
24602460,-0.620956,0.39899
25202520,-0.618055,0.405107
25802580,-0.611198,0.413527
26402640,-0.603953,0.421841
27002700,-0.596699,0.430179
27602760,-0.589373,0.438632
28202820,-0.581799,0.446778
28802880,-0.574068,0.455193
29402940,-0.566202,0.46361
30003000,-0.558221,0.471673
30603060,-0.549906,0.47874
31203120,-0.54159,0.486791
31803180,-0.533768,0.494783
32403240,-0.526229,0.501547
33003300,-0.518633,0.508235
33603360,-0.511075,0.514698
34203420,-0.503663,0.520945
34803480,-0.495867,0.527449
35403540,-0.488041,0.533879
36003600,-0.480355,0.540072
36603660,-0.472344,0.546813
37203720,-0.464348,0.553051
37803780,-0.456265,0.559267
38403840,-0.447899,0.565559
39003900,-0.439533,0.5717
39603960,-0.430984,0.577641
40204020,-0.422663,0.583299
40804080,-0.413944,0.589015
41404140,-0.405249,0.594471
42004200,-0.396583,0.599654
42604260,-0.387509,0.604921
43204320,-0.378835,0.609806
43804380,-0.369602,0.614859
44404440,-0.360508,0.619648
45004500,-0.351377,0.624086
45604560,-0.342222,0.628634
46204620,-0.333196,0.632995
46804680,-0.323798,0.637203
47404740,-0.314894,0.641176
48004800,-0.30528,0.645283
48604860,-0.295825,0.649129
49204920,-0.286587,0.652753
49804980,-0.277056,0.656519
50405040,-0.26758,0.659993
51005100,-0.258068,0.663341
51605160,-0.248638,0.666547
52205220,-0.238824,0.669756
52805280,-0.229301,0.672801
53405340,-0.219834,0.675501
54005400,-0.210146,0.678289
54605460,-0.200822,0.680982
55205520,-0.191363,0.683546
55805580,-0.182034,0.685943
