Frequency (Hz),S12 Real,S12 Imaginary
0,0.189414,-0.705407
600060,-0.63967,-0.131219
1200120,-0.667933,-0.0971449
1800180,-0.686883,-0.0840038
2400240,-0.703313,-0.0704143
3000300,-0.717404,-0.0561604
3600360,-0.728807,-0.0402696
4200420,-0.737898,-0.0228804
4800480,-0.744521,-0.00479489
5400540,-0.749053,0.0129652
6000600,-0.751741,0.0310183
6600660,-0.752736,0.048415
7200720,-0.752523,0.0655181
7800780,-0.751237,0.0819194
8400840,-0.749087,0.0978379
9000900,-0.746428,0.113091
9600960,-0.743087,0.127749
10201020,-0.739283,0.14197
10801080,-0.735083,0.15586
11401140,-0.730809,0.168974
12001200,-0.72635,0.182022
12601260,-0.721789,0.194308
13201320,-0.716998,0.206498
13801380,-0.712081,0.218693
14401440,-0.706945,0.230321
15001500,-0.701586,0.241735
15601560,-0.695982,0.253511
16201620,-0.690348,0.264295
16801680,-0.684461,0.275201
17401740,-0.67876,0.285416
18001800,-0.672854,0.295737
18601860,-0.667029,0.305609
19201920,-0.660974,0.315537
19801980,-0.654866,0.3252
20402040,-0.648889,0.334699
21002100,-0.64275,0.343922
21602160,-0.636481,0.353188
22202220,-0.630178,0.36251
22802280,-0.623824,0.37125
23402340,-0.6172,0.380253
24002400,-0.610784,0.388726
24602460,-0.603989,0.397361
25202520,-0.601419,0.403338
25802580,-0.594302,0.411708
26402640,-0.587401,0.419258
27002700,-0.580221,0.427402
27602760,-0.572781,0.435453
28202820,-0.565168,0.443619
28802880,-0.557549,0.451731
29402940,-0.549717,0.459701
30003000,-0.541679,0.46741
30603060,-0.533427,0.474435
31203120,-0.525332,0.481868
31803180,-0.517869,0.489572
32403240,-0.510317,0.496079
33003300,-0.502994,0.502433
33603360,-0.495566,0.508798
34203420,-0.487975,0.514963
34803480,-0.480263,0.521339
35403540,-0.472421,0.527661
36003600,-0.464585,0.533894
36603660,-0.45673,0.540068
37203720,-0.448703,0.546268
37803780,-0.44069,0.55235
38403840,-0.432609,0.558223
39003900,-0.42452,0.563955
39603960,-0.416036,0.569814
40204020,-0.407883,0.575148
40804080,-0.399524,0.580394
41404140,-0.390882,0.585549
42004200,-0.382088,0.590713
42604260,-0.373275,0.59577
43204320,-0.364121,0.600613
43804380,-0.355353,0.605254
44404440,-0.346309,0.609719
45004500,-0.337677,0.614009
45604560,-0.328716,0.618114
46204620,-0.319595,0.622336
46804680,-0.310295,0.626411
47404740,-0.301237,0.630183
48004800,-0.292019,0.633903
48604860,-0.282878,0.63749
49204920,-0.273568,0.640994
49804980,-0.264251,0.644475
50405040,-0.254935,0.647759
51005100,-0.245644,0.650903
51605160,-0.236121,0.654033
52205220,-0.22684,0.656956
52805280,-0.217705,0.659629
53405340,-0.208606,0.662318
54005400,-0.199509,0.664736
54605460,-0.190249,0.667169
55205520,-0.180971,0.66961
55805580,-0.171607,0.671863
56405640,-0.162352,0.674002
57005700,-0.153043,0.675942
57605760,-0.143302,0.677955
58205820,-0.13449,0.679579
58805880,-0.124897,0.681279
59405940,-0.115297,0.682711
60006000,-0.105631,0.683858
60606060,-0.0954346,0.684708
61206120,-0.0848008,0.685091
61806180,-0.0737623,0.685457
62406240,-0.0637377,0.686258
63006300,-0.0540167,0.68752
63606360,-0.0443639,0.688588
64206420,-0.0346113,0.689292
64806480,-0.0252337,0.689617
65406540,-0.015512,0.689805
66006600,-0.00589578,0.689844
66606660,0.00402396,0.689619
67206720,0.0135473,0.689451
67806780,0.0236748,0.689032
68406840,0.0331054,0.688623
69006900,0.0426642,0.68799
69606960,0.0526192,0.687282
70207020,0.062016,0.686388
70807080,0.0714387,0.685544
71407140,0.0811504,0.684392
72007200,0.0906642,0.683246
72607260,0.100486,0.681915
73207320,0.110001,0.680426
73807380,0.11956,0.678931
74407440,0.129081,0.677199
75007500,0.138877,0.675319
75607560,0.148434,0.673352
76207620,0.157829,0.671288
76807680,0.167121,0.669136
77407740,0.176685,0.66687
78007800,0.185921,0.664438
78607860,0.195721,0.661856
79207920,0.204857,0.659205
79807980,0.214088,0.656337
80408040,0.223269,0.653503
81008100,0.232593,0.650318
81608160,0.2421,0.647193
82208220,0.251197,0.643843
82808280,0.260458,0.640352
83408340,0.269536,0.636869
84008400,0.278496,0.633228
84608460,0.287291,0.6295
85208520,0.296592,0.625463
85808580,0.305667,0.621352
86408640,0.314361,0.617212
87008700,0.323424,0.612799
87608760,0.332083,0.608442
88208820,0.340834,0.603886
88808880,0.349644,0.599165
89408940,0.358334,0.594388
90009000,0.366649,0.589601
90609060,0.375227,0.584486
91209120,0.383963,0.579253
91809180,0.39238,0.573905
92409240,0.400836,0.56836
93009300,0.409089,0.562753
93609360,0.41715,0.557165
94209420,0.425386,0.551363
94809480,0.433464,0.54552
95409540,0.441594,0.539371
96009600,0.449292,0.533338
96609660,0.457064,0.527078
97209720,0.464825,0.520581
97809780,0.472455,0.514134
98409840,0.48016,0.507445
99009900,0.487687,0.50059
99609960,0.495202,0.493698
100210021,0.502359,0.486806
100810081,0.509677,0.479608
101410141,0.516868,0.472329
102010201,0.524052,0.464919
102610261,0.53101,0.457302
103210321,0.537876,0.449742
